team,mean_rank,median_rank,best_rank,worst_rank,seasons_count,rank_stddev,mean_normalized_rank,rank_stability
Sacramento State,220.4,228,86,293,5,84.4,62.0,84.4
FAU,223.4,229,158,284,5,45.0,62.5,45.0
North Dakota,233.8,230,184,287,5,38.3,65.6,38.3
Howard,220.4,231,177,256,5,35.5,61.7,35.5
Valparaiso,232.4,232,122,303,5,72.4,64.8,72.4
Southern,226.6,233,181,274,5,39.7,63.5,39.7
Appalachian State,214.0,234,169,231,5,25.9,60.0,25.9
High Point,224.4,235,182,270,5,33.1,62.8,33.1
UC San Diego,225.8,236,182,257,5,28.5,63.4,28.5
Saint Thomas,245.5,237,197,315,4,49.7,68.2,49.7
Western Illinois,243.0,238,213,297,5,31.7,68.1,31.7
Manhattan,224.8,239,174,254,5,31.4,63.0,31.4
Colgate,250.6,240,155,330,5,73.7,70.6,73.7
Miami (OH),228.2,241,146,300,5,55.3,64.0,55.3
Western Michigan,224.8,242,173,259,5,34.0,62.9,34.0
Brown,250.4,243,165,343,5,79.2,70.5,79.2
Texas A&M-Corpus Christi,234.4,244,167,324,5,59.2,66.0,59.2
Georgia State,237.0,245,205,282,5,31.0,66.5,31.0
Jacksonville,253.2,246,227,325,5,40.8,71.2,40.8
Siena,240.8,247,181,291,5,40.9,67.7,40.9
Xavier,248.2,248,214,320,5,42.5,69.5,42.5
Purdue Fort Wayne,217.6,249,82,320,5,102.8,61.3,102.8
Eastern Michigan,251.6,250,136,328,5,78.6,70.2,78.6
Mount Saint Mary's,233.0,251,130,302,5,68.3,65.0,68.3
Indiana State,248.4,252,203,284,5,34.7,69.7,34.7
Omaha,249.8,253,213,278,5,24.2,69.9,24.2
Cal State Fullerton,260.2,254,208,327,5,45.0,73.0,45.0
UTRGV,267.2,255,226,312,5,38.4,75.0,38.4
Monmouth,246.0,256,157,331,5,64.2,69.2,64.2
Yale,258.0,257,161,343,5,78.3,72.5,78.3
Oakland,252.0,258,200,307,5,41.7,70.5,41.7
Pepperdine,263.2,259,202,336,5,50.1,73.8,50.1
Denver,258.8,260,232,278,5,17.5,72.5,17.5
Sam Houston State,240.0,261,162,305,5,54.0,67.1,54.0
Kennesaw State,263.0,262,232,318,5,35.8,73.9,35.8
Cal Poly,233.2,263,164,313,5,63.6,65.2,63.6
Texas A&M-Commerce,258.5,264,255,262,2,4.9,71.6,4.9
Army,254.4,265,164,314,5,56.1,71.4,56.1
Central Arkansas,247.2,266,151,330,5,84.1,69.4,84.1
Grambling State,264.0,267,225,298,5,31.4,74.0,31.4
Stetson,240.4,268,154,276,5,49.4,67.4,49.4
Samford,244.4,269,168,271,5,43.0,68.3,43.0
Furman,262.0,270,240,301,5,23.6,73.5,23.6
Sacred Heart,269.8,271,214,321,5,40.4,75.7,40.4
Coppin State,269.8,272,195,333,5,51.7,75.8,51.7
Longwood,277.8,273,194,346,5,65.1,77.8,65.1
Ohio,222.8,274,95,334,5,103.3,62.0,103.3
Elon,231.8,275,156,288,5,58.4,64.7,58.4
Morgan State,282.0,276,243,327,5,38.8,79.0,38.8
North Alabama,257.8,277,213,273,5,25.2,72.3,25.2
Niagara,272.8,278,201,353,5,56.6,76.5,56.6
