fullName,teamMarket,playerId,height,mpg,gp,drtgPlayer,ortgPlayer,ws,ows,dws,rapm,orapm,drapm,stl,blk,stlPg,blkPg,conf
Katie Beyer,Valparaiso,1634156,73.0,19.45,30,96.93,95.27,1.4,0.85,0.55,-0.98,-0.96,-0.02,25,11,0.83,0.37,MVC
Kendal Cheesman,Belmont,1686011,74.0,25.69,39,85.36,108.94,5.37,3.2,2.17,5.89,4.61,1.28,22,33,0.56,0.85,MVC
Sarah Linthacum,Missouri St.,1687412,75.0,24.94,34,90.05,103.33,3.62,2.2,1.42,3.08,1.71,1.38,24,7,0.71,0.21,MVC
Arin Freeman,UIC,1687764,67.0,21.98,31,97.97,88.16,1.02,0.46,0.57,-0.47,-0.75,0.27,25,5,0.81,0.16,MVC
Ava Learn,Murray St.,1688251,73.0,27.5,33,90.22,118.75,5.14,3.64,1.5,3.38,3.77,-0.38,34,28,1.03,0.85,MVC
Lacy Stokes,Missouri St.,1688568,64.0,34.84,35,87.13,117.41,7.09,4.68,2.41,6.45,3.68,2.77,90,5,2.57,0.14,MVC
Krystyna Ellew,UIC,1688530,70.0,22.86,32,102.15,106.02,1.93,1.64,0.29,3.09,2.86,0.23,11,0,0.34,0.0,MVC
Carmyn Harrison,Belmont,1688581,74.0,15.96,39,85.71,92.72,2.07,0.75,1.32,-0.68,-2.06,1.37,31,26,0.79,0.67,MVC
Katie Dinnebier,Drake,1689421,68.0,35.26,34,94.65,125.97,9.55,8.13,1.42,5.63,6.06,-0.44,85,9,2.5,0.26,MVC
Ashley Iiams,Drake,1689422,73.0,6.59,20,104.93,96.13,0.16,0.14,0.01,-3.53,-0.32,-3.21,2,0,0.1,0.0,MVC
Anna Miller,Drake,1689423,75.0,26.52,34,89.64,101.13,4.13,2.58,1.55,6.51,3.79,2.72,29,71,0.85,2.09,MVC
Lauren Cohen,Illinois St.,1691956,68.0,7.74,27,103.69,,,,0.05,0.03,0.97,-0.94,5,1,0.19,0.04,MVC
Jalysa Stokes,UIC,1694328,65.0,9.49,12,103.27,99.69,0.26,0.23,0.03,-1.94,-0.8,-1.14,0,1,0.0,0.08,MVC
Trinity White,Murray St.,1695956,69.0,22.52,33,96.84,102.63,1.56,0.85,0.71,2.59,2.97,-0.37,29,6,0.88,0.18,MVC
Kaylen Nelson,Bradley,1698360,70.0,28.22,32,93.9,85.42,1.42,0.28,1.14,-0.4,-0.65,0.25,27,2,0.84,0.06,MVC
Caroline Waite,Illinois St.,1699993,64.0,7.0,21,108.53,105.94,0.31,0.35,-0.04,-0.55,0.08,-0.62,0,0,0.0,0.0,MVC
Ky Dempsey-Toney,UIC,1705153,74.0,18.47,32,92.46,109.14,2.66,1.83,0.83,0.66,0.68,-0.01,18,20,0.56,0.62,MVC
