"Team","Record","NET Rank","NET Delta"
"   Tulane  ","17-14","93",""
"   Fordham  ","18-13","94",""
"   Richmond  ","21-11","95",""
"   Wyoming  ","21-11","96",""
"   Saint Joseph's  ","20-11","97",""
"   Rice  ","23-9","98",""
"   Jackson State  ","21-10","99",""
"   Vanderbilt  ","12-19","100",""
"   James Madison  ","25-8","101",""
"   New Mexico  ","20-13","102",""
"   Wichita State  ","18-15","103",""
"   Minnesota  ","11-19","104",""
"   BYU  ","15-17","105",""
"   Georgetown  ","13-17","106",""
"   Pittsburgh  ","10-20","107",""
"   Liberty  ","22-9","108",""
"   Kent State  ","19-11","109",""
"   Wisconsin  ","11-20","110",""
"   Texas A&M  ","9-20","111",""
"   UTEP  ","20-12","112",""
"   Tulsa  ","17-13","113",""
"   Missouri State  ","20-12","114",""
"   Arizona State  ","8-20","115",""
"   Long Beach State  ","22-10","116",""
"   Penn  ","16-12","117",""
"   UC Irvine  ","23-7","118",""
"   Boston University  ","24-9","119",""
"   Louisiana Tech  ","18-13","120",""
"   Montana State  ","19-11","121",""
"   Northern Arizona  ","20-14","122",""
"   Drexel  ","21-10","123",""
"   Butler  ","11-19","124",""
"   Fairleigh Dickinson  ","24-8","124",""
"   Temple  ","11-18","125",""
"   Western Kentucky  ","19-14","126",""
"   Providence  ","13-19","127",""
"   Northwestern  ","9-21","128",""
"   San Francisco  ","17-13","129",""
"   Eastern Washington  ","17-11","130",""
"   Murray State  ","14-16","131",""
"   San Diego  ","18-14","132",""
"   Southern Utah  ","21-10","133",""
"   Santa Clara  ","13-17","134",""
"   Saint Louis  ","17-18","135",""
"   TCU  ","8-23","136",""
"   Gardner-Webb  ","29-5","137",""
"   California Baptist  ","22-13","139",""
"   Troy  ","16-13","140",""
"   Duquesne  ","18-12","141",""
"   Grand Canyon  ","19-10","142",""
"   Vermont  ","24-7","143",""
"   Pacific  ","14-17","144",""
"   Northern Kentucky  ","17-14","145",""
"   Northeastern  ","19-12","146",""
"   Hawaii  ","18-15","147",""
"   UCF  ","14-15","148",""
"   Iona  ","26-7","149",""
"   George Washington  ","17-13","150",""
"   Texas State  ","20-10","151",""
"   Old Dominion  ","21-12","152",""
"   Quinnipiac  ","21-9","153",""
"   UC Santa Barbara  ","19-12","154",""
"   Holy Cross  ","23-9","155",""
"   Davidson  ","14-16","156",""
"   Youngstown State  ","17-11","157",""
"   Montana  ","12-16","158",""
"   Southeastern Louisiana  ","19-10","159",""
"   Abilene Christian  ","12-15","160",""
"   UTSA  ","13-19","161",""
"   La Salle  ","17-13","162",""
"   Norfolk State  ","25-7","163",""
"   Towson  ","21-12","164",""
"   Chattanooga  ","18-13","165",""
"   Rutgers  ","12-20","166",""
"   Austin Peay  ","16-12","167",""
"   New Mexico State  ","16-17","168",""
"   Tennessee Tech  ","21-10","169",""
"   Utah Tech  ","17-12","170",""
"   Boise State  ","15-16","171",""
"   East Tennessee State  ","23-10","172",""
"   Southern Illinois  ","12-19","173",""
"   George Mason  ","16-15","174",""
"   Georgia Southern  ","18-10","175",""
"   UC Davis  ","14-14","176",""
"   IUPUI  ","17-13","177",""
"   Wofford  ","19-10","178",""
"   Stony Brook  ","18-13","179",""
"   UTA  ","13-17","180",""
"   Air Force  ","11-18","181",""
"   Delaware  ","16-14","182",""
"   Saint Mary's College  ","13-18","183",""
"   North Dakota  ","17-13","184",""
"   Southern Miss  ","19-10","185",""
"   North Dakota State  ","17-12","186",""
"   Albany  ","22-12","187",""
"   Marshall  ","15-14","188",""
"   Northern Illinois  ","16-17","189",""
"   UIC  ","19-17","190",""
"   Akron  ","15-13","191",""
"   UAB  ","12-17","192",""
"   Mercer  ","11-15","193",""
"   Louisiana  ","13-15","194",""
"   Cincinnati  ","9-21","195",""
"   Lamar  ","17-12","196",""
"   Lehigh  ","16-14","197",""
"   Texas A&M-Corpus Christi  ","16-12","198",""
"   North Texas  ","10-20","199",""
"   Charlotte  ","12-19","200",""
"   Little Rock  ","21-11","201",""
"   Pepperdine  ","10-19","202",""
"   Jacksonville State  ","14-14","203",""
"   Lipscomb  ","17-12","204",""
"   Yale  ","13-14","205",""
"   Maine  ","16-14","206",""
"   Idaho  ","13-17","207",""
"   Cal State Fullerton  ","14-16","208",""
"   Coastal Carolina  ","12-16","209",""
"   Eastern Illinois  ","20-8","210",""
"   Eastern Kentucky  ","15-14","211",""
"   Buffalo  ","12-15","212",""
"   North Alabama  ","12-15","213",""
"   Dayton  ","6-21","214",""
"   Sam Houston State  ","11-17","215",""
"   Milwaukee  ","11-19","216",""
"   FAU  ","10-18","217",""
"   North Carolina A&T  ","15-12","218",""
"   Xavier  ","7-23","219",""
"   Monmouth  ","17-16","220",""
"   Oral Roberts  ","11-19","221",""
"   FIU  ","13-19","222",""
"   South Dakota  ","12-16","223",""
"   William & Mary  ","18-13","224",""
"   Idaho State  ","9-19","225",""
"   Indiana State  ","11-19","226",""
"   Appalachian State  ","9-20","227",""
"   Nevada  ","9-21","228",""
"   Siena  ","19-13","229",""
"   Eastern Michigan  ","14-15","230",""
"   High Point  ","15-15","231",""
"   Kennesaw State  ","13-16","232",""
"   VCU  ","7-22","233",""
"   Saint Thomas  ","13-17","234",""
"   Fresno State  ","8-22","235",""
"   Colgate  ","15-14","236",""
"   Bucknell  ","13-17","237",""
"   Tennessee-Martin  ","13-17","238",""
"   Brown  ","10-15","239",""
"   Miami (OH)  ","11-19","240",""
"   UC San Diego  ","13-17","241",""
"   Purdue Fort Wayne  ","13-19","242",""
"   UTRGV  ","11-18","243",""
"   Jacksonville  ","9-17","244",""
"   Western Michigan  ","11-17","245",""
"   Portland State  ","13-16","246",""
"   Niagara  ","18-13","247",""
"   Georgia State  ","10-21","248",""
"   Northern Colorado  ","11-18","249",""
"   Fairfield  ","15-15","250",""
"   Arkansas State  ","12-19","251",""
"   Howard  ","16-14","252",""
"   Cornell  ","9-17","253",""
"   Manhattan  ","16-17","254",""
"   Texas A&M-Commerce  ","13-19","255",""
"   Hampton  ","11-18","256",""
"   Southern  ","16-15","257",""
"   Sacred Heart  ","18-14","258",""
"   Cal Poly  ","9-18","259",""
"   Stetson  ","11-20","260",""
"   Samford  ","10-17","261",""
"   Campbell  ","14-15","262",""
"   Omaha  ","13-17","263",""
"   San Jose State  ","6-25","264",""
"   Elon  ","9-21","265",""
"   Morgan State  ","14-12","266",""
"   Southeast Missouri  ","13-15","267",""
"   Tarleton State  ","6-21","268",""
"   Cal State Northridge  ","7-24","269",""
"   Denver  ","11-18","270",""
"   Incarnate Word  ","11-14","271",""
"   Loyola-Chicago  ","6-24","272",""
"   Arkansas-Pine Bluff  ","13-17","273",""
"   Oakland  ","12-17","274",""
"   Evansville  ","11-19","275",""
"   UMBC  ","13-15","276",""
"   UNCG  ","13-14","277",""
"   Cal State Bakersfield  ","8-23","278",""
"   Charleston  ","9-18","279",""
"   Binghamton  ","11-17","280",""
"   Marist  ","12-18","281",""
"   Southern Indiana  ","9-17","282",""
"   Army  ","12-17","283",""
"   Central Michigan  ","6-23","284",""
"   Robert Morris  ","9-19","285",""
"   Loyola-Marymount  ","6-23","286",""
"   Ohio  ","6-23","287",""
"   Bellarmine  ","7-22","288",""
"   Radford  ","12-17","289",""
"   Prairie View A&M  ","12-15","290",""
"   UC Riverside  ","5-25","291",""
"   Valparaiso  ","7-23","292",""
"   Grambling State  ","10-20","293",""
"   Seattle University  ","6-24","294",""
"   Bethune-Cookman  ","11-18","295",""
"   Hofstra  ","11-20","296",""
"   Western Illinois  ","8-20","297",""
"   American  ","9-22","298",""
"   Alabama State  ","15-15","299",""
"   Coppin State  ","8-22","300",""
"   Furman  ","8-19","301",""
"   Mount Saint Mary's  ","11-19","302",""
"   Alabama A&M  ","14-15","303",""
"   Wright State  ","7-24","304",""
"   Wagner  ","13-15","305",""
"   Houston Christian  ","8-18","306",""
"   North Carolina Central  ","12-16","307",""
"   McNeese  ","10-19","308",""
"   NJIT  ","13-16","309",""
"   Weber State  ","6-25","310",""
"   UMKC  ","7-23","311",""
"   Dartmouth  ","2-26","312",""
"   Alcorn State  ","10-17","313",""
"   Maryland Eastern Shore  ","7-20","314",""
"   Loyola-Maryland  ","10-21","315",""
"   New Orleans  ","8-20","316",""
"   Canisius  ","9-21","317",""
"   UNCW  ","4-24","318",""
"   Presbyterian College  ","11-17","319",""
"   Tennessee State  ","8-18","320",""
"   UMass-Lowell  ","5-22","321",""
"   SIUE  ","9-22","322",""
"   Rider  ","10-21","323",""
"   Merrimack  ","14-16","324",""
"   Utah Valley  ","4-24","325",""
"   Northwestern State  ","8-18","326",""
"   Lafayette  ","10-19","327",""
"   Saint Bonaventure  ","6-26","328",""
"   ULM  ","4-23","329",""
"   Central Arkansas  ","6-18","330",""
"   Florida A&M  ","5-23","331",""
"   Saint Francis (NY)  ","10-19","332",""
"   Morehead State  ","9-20","333",""
"   Bryant  ","7-21","334",""
"   Detroit  ","4-25","335",""
"   Stonehill  ","8-20","336",""
"   Bradley  ","3-28","337",""
"   South Alabama  ","6-23","338",""
"   Texas Southern  ","2-27","339",""
"   Utah State  ","3-26","340",""
"   North Florida  ","5-20","341",""
"   Long Island  ","7-22","342",""
"   New Hampshire  ","6-21","343",""
"   UNC Asheville  ","10-19","344",""
"   Queens  ","5-21","345",""
"   Longwood  ","9-21","346",""
"   Central Connecticut  ","7-22","347",""
"   Delaware State  ","5-19","348",""
"   South Carolina Upstate  ","9-20","349",""
"   Western Carolina  ","6-21","350",""
"   Winthrop  ","7-22","351",""
"   Saint Francis (PA)  ","7-22","352",""
"   Nicholls  ","4-24","353",""
"   Lindenwood  ","1-24","354",""
"   Navy  ","1-29","355",""
"   Charleston Southern  ","4-25","356",""
"   Saint Peter's  ","0-30","357",""
"   Chicago State  ","4-21","358",""
"   Mississippi Valley State  ","2-27","359",""
"   South Carolina State  ","3-27","360",""
"   Hartford  ","0-26","361",""
