"Team","Record","NET Rank","NET Delta"
"   Fordham  ","18-11","72",""
"   Vanderbilt  ","16-19","73",""
"   USC  ","12-16","74",""
"   UNLV  ","26-7","75",""
"   Purdue  ","17-15","76",""
"   Houston  ","18-16","77",""
"   Portland  ","18-11","78",""
"   Southern Illinois  ","20-10","79",""
"   Drake  ","19-14","80",""
"   Liberty  ","25-5","81",""
"   Texas Tech  ","11-19","82",""
"   Oklahoma State  ","9-20","83",""
"   Towson  ","22-8","84",""
"   Jackson State  ","23-7","85",""
"   Wake Forest  ","16-17","86",""
"   Seton Hall  ","24-13","87",""
"   Minnesota  ","15-18","88",""
"   Drexel  ","28-6","89",""
"   California  ","10-13","90",""
"   VCU  ","16-12","91",""
"   Charlotte  ","22-10","92",""
"   Old Dominion  ","23-10","93",""
"   Washington  ","7-16","94",""
"   San Diego  ","17-15","95",""
"   Auburn  ","10-18","96",""
"   Pittsburgh  ","11-19","97",""
"   Delaware  ","23-8","98",""
"   New Mexico  ","25-10","99",""
"   Bucknell  ","24-10","100",""
"   Tulsa  ","16-11","101",""
"   Fairfield  ","25-7","102",""
"   Murray State  ","20-10","103",""
"   Columbia  ","25-7","104",""
"   Troy  ","22-9","105",""
"   San Francisco  ","17-16","106",""
"   Kent State  ","17-12","107",""
"   Syracuse  ","11-18","108",""
"   Wyoming  ","15-13","109",""
"   North Texas  ","16-13","110",""
"   Clemson  ","10-21","111",""
"   Wichita State  ","14-16","112",""
"   Ball State  ","20-13","113",""
"   SMU  ","14-15","114",""
"   Rutgers  ","11-20","115",""
"   Stony Brook  ","23-6","116",""
"   Harvard  ","13-14","117",""
"   Temple  ","13-15","118",""
"   Loyola-Chicago  ","17-12","119",""
"   Green Bay  ","19-8","120",""
"   Colorado State  ","19-12","121",""
"   UTA  ","20-8","122",""
"   Mercer  ","23-7","123",""
"   Bowling Green  ","16-16","124",""
"   Illinois State  ","18-14","125",""
"   Davidson  ","18-15","126",""
"   Richmond  ","16-14","127",""
"   Air Force  ","17-14","128",""
"   Long Beach State  ","18-9","129",""
"   Penn State  ","11-18","130",""
"   Louisiana Tech  ","19-12","131",""
"   Quinnipiac  ","21-12","132",""
"   Ohio  ","14-15","133",""
"   California Baptist  ","23-9","134",""
"   UC Davis  ","13-13","135",""
"   UMKC  ","21-9","136",""
"   Cleveland State  ","19-9","137",""
"   UC Irvine  ","20-12","138",""
"   Montana  ","18-11","139",""
"   Memphis  ","16-12","140",""
"   Northern Kentucky  ","20-8","141",""
"   Saint John's  ","12-19","142",""
"   Saint Mary's College  ","18-15","143",""
"   Santa Clara  ","14-15","144",""
"   Lehigh  ","18-11","145",""
"   Nevada  ","18-13","146",""
"   La Salle  ","16-12","147",""
"   Akron  ","16-12","148",""
"   Tennessee Tech  ","19-11","149",""
"   Louisiana  ","15-7","150",""
"   Youngstown State  ","21-7","151",""
"   Jacksonville State  ","22-8","152",""
"   East Carolina  ","11-18","153",""
"   Stetson  ","18-12","154",""
"   Virginia  ","5-22","155",""
"   Marshall  ","13-13","156",""
"   Idaho State  ","17-12","157",""
"   Duquesne  ","11-18","158",""
"   Saint Joseph's  ","13-17","159",""
"   TCU  ","6-22","160",""
"   Yale  ","16-11","161",""
"   Hawaii  ","20-10","162",""
"   Montana State  ","20-13","163",""
"   Boston University  ","17-14","165",""
"   Little Rock  ","15-10","166",""
"   Penn  ","10-14","167",""
"   Charleston  ","16-13","168",""
"   Northern Arizona  ","17-14","169",""
"   Providence  ","11-19","170",""
"   Utah Valley  ","14-15","171",""
"   Western Kentucky  ","17-12","172",""
"   Western Michigan  ","14-14","173",""
"   Manhattan  ","21-11","174",""
"   Saint Louis  ","9-18","175",""
"   Rice  ","13-13","176",""
"   James Madison  ","14-15","177",""
"   Austin Peay  ","18-13","178",""
"   Albany  ","22-10","180",""
"   UAB  ","14-15","180",""
"   Vermont  ","20-11","181",""
"   Fresno State  ","9-18","182",""
"   Elon  ","17-12","183",""
"   American  ","23-9","184",""
"   Holy Cross  ","19-11","185",""
"   San Diego State  ","14-16","186",""
"   Southern Miss  ","16-12","187",""
"   UTEP  ","14-15","188",""
"   Southern Utah  ","16-12","189",""
"   Maine  ","20-12","190",""
"   Milwaukee  ","14-16","191",""
"   FIU  ","12-16","192",""
"   Georgia Southern  ","15-10","193",""
"   Longwood  ","22-12","194",""
"   Cincinnati  ","11-17","195",""
"   UC Riverside  ","12-11","196",""
"   Grand Canyon  ","20-10","197",""
"   Eastern Illinois  ","14-14","198",""
"   Northern Colorado  ","14-16","199",""
"   UC Santa Barbara  ","14-12","200",""
"   Oral Roberts  ","14-15","201",""
"   Northeastern  ","14-18","202",""
"   Indiana State  ","10-20","203",""
"   North Dakota State  ","9-18","204",""
"   Wisconsin  ","8-21","205",""
"   Idaho  ","13-18","206",""
"   George Washington  ","12-18","207",""
"   North Florida  ","10-17","208",""
"   Tennessee-Martin  ","12-18","209",""
"   Norfolk State  ","16-12","210",""
"   Southeastern Louisiana  ","14-11","211",""
"   Campbell  ","20-8","212",""
"   Northern Illinois  ","14-15","212",""
"   Coastal Carolina  ","12-11","213",""
"   Abilene Christian  ","13-13","214",""
"   Appalachian State  ","12-12","215",""
"   Illinois  ","7-20","216",""
"   UC San Diego  ","12-14","217",""
"   Miami (OH)  ","8-21","218",""
"   Lamar  ","12-15","219",""
"   Arkansas State  ","9-16","220",""
"   North Dakota  ","13-15","221",""
"   Fairleigh Dickinson  ","19-12","222",""
"   South Carolina Upstate  ","19-8","223",""
"   Sacramento State  ","13-16","224",""
"   Oakland  ","15-15","225",""
"   Valparaiso  ","11-19","226",""
"   Jacksonville  ","12-13","227",""
"   Georgetown  ","9-19","228",""
"   North Carolina A&T  ","14-15","229",""
"   Weber State  ","11-20","230",""
"   Wofford  ","14-14","231",""
"   Loyola-Marymount  ","10-19","232",""
"   Pacific  ","5-23","233",""
"   High Point  ","15-14","234",""
"   Western Illinois  ","12-15","235",""
"   George Mason  ","10-19","236",""
"   Texas State  ","12-14","237",""
"   Cal State Fullerton  ","11-18","238",""
"   Texas A&M-Corpus Christi  ","16-10","239",""
"   Pepperdine  ","8-17","240",""
"   Xavier  ","9-21","241",""
"   Eastern Michigan  ","6-20","242",""
"   Mount Saint Mary's  ","15-13","243",""
"   Saint Bonaventure  ","11-16","244",""
"   Saint Francis (NY)  ","16-10","245",""
"   Utah State  ","10-19","246",""
"   Furman  ","18-14","247",""
"   Boise State  ","6-21","248",""
"   Omaha  ","6-19","249",""
"   Wagner  ","17-12","250",""
"   UTRGV  ","14-19","251",""
"   Army  ","15-13","252",""
"   Gardner-Webb  ","16-15","253",""
"   Morgan State  ","16-8","254",""
"   SIUE  ","13-18","255",""
"   Howard  ","20-10","256",""
"   Sam Houston State  ","12-16","257",""
"   Coppin State  ","15-13","258",""
"   Iona  ","11-16","259",""
"   Cal State Northridge  ","7-19","260",""
"   Saint Peter's  ","13-18","261",""
"   Siena  ","10-19","262",""
"   Samford  ","11-17","263",""
"   New Mexico State  ","8-19","264",""
"   Arkansas-Pine Bluff  ","12-16","265",""
"   North Alabama  ","10-15","266",""
"   Niagara  ","15-15","267",""
"   Eastern Kentucky  ","11-16","268",""
"   Bradley  ","3-23","269",""
"   Tarleton State  ","12-13","270",""
"   Monmouth  ","14-16","271",""
"   Robert Morris  ","13-15","272",""
"   Lafayette  ","12-18","273",""
"   Southern  ","12-17","274",""
"   Kennesaw State  ","8-19","275",""
"   Houston Baptist  ","13-11","276",""
"   Tennessee State  ","11-19","277",""
"   Denver  ","8-20","278",""
"   Seattle University  ","9-19","279",""
"   NJIT  ","15-15","280",""
"   Eastern Washington  ","7-21","281",""
"   Georgia State  ","8-16","282",""
"   Alabama A&M  ","15-14","283",""
"   FAU  ","3-25","284",""
"   Evansville  ","7-22","285",""
"   UMass-Lowell  ","11-16","286",""
"   Central Michigan  ","4-25","287",""
"   Cal State Bakersfield  ","4-20","288",""
"   Binghamton  ","7-20","289",""
"   Alabama State  ","14-15","290",""
"   UTSA  ","7-23","291",""
"   William & Mary  ","9-20","292",""
"   Rider  ","9-21","293",""
"   Lipscomb  ","6-20","294",""
"   Texas Southern  ","11-15","295",""
"   Marist  ","8-21","296",""
"   UNCG  ","8-19","297",""
"   Grambling State  ","14-17","298",""
"   Hampton  ","13-16","299",""
"   Wright State  ","3-19","300",""
"   Cornell  ","8-16","301",""
"   Purdue Fort Wayne  ","5-21","302",""
"   McNeese  ","10-15","303",""
"   Hofstra  ","7-20","304",""
"   Chattanooga  ","7-23","305",""
"   Long Island  ","9-18","306",""
"   Navy  ","10-21","307",""
"   Maryland Eastern Shore  ","9-16","308",""
"   Merrimack  ","9-17","309",""
"   Presbyterian College  ","11-18","310",""
"   Dixie State  ","6-19","311",""
"   Incarnate Word  ","11-17","312",""
"   Cal Poly  ","3-22","313",""
"   Loyola-Maryland  ","5-24","314",""
"   Saint Thomas  ","6-21","315",""
"   Chicago State  ","4-23","316",""
"   Northwestern State  ","8-14","317",""
"   South Alabama  ","5-18","318",""
"   Colgate  ","6-24","319",""
"   Brown  ","5-20","320",""
"   Sacred Heart  ","8-17","321",""
"   New Hampshire  ","6-21","322",""
"   San Jose State  ","4-25","323",""
"   UNC Asheville  ","8-22","324",""
"   Central Arkansas  ","6-19","325",""
"   Prairie View A&M  ","10-17","326",""
"   Canisius  ","6-25","327",""
"   Bryant  ","9-22","328",""
"   East Tennessee State  ","6-22","329",""
"   Southeast Missouri  ","4-23","330",""
"   Saint Francis (PA)  ","8-22","331",""
"   Detroit  ","1-27","332",""
"   UIC  ","2-25","333",""
"   UNCW  ","2-26","334",""
"   Bethune-Cookman  ","4-21","335",""
"   Bellarmine  ","2-24","336",""
"   Central Connecticut  ","6-20","337",""
"   Butler  ","1-27","338",""
"   North Carolina Central  ","3-20","339",""
"   Radford  ","5-23","340",""
"   New Orleans  ","4-18","341",""
"   Portland State  ","3-24","342",""
"   UMBC  ","2-23","343",""
"   Dartmouth  ","3-23","344",""
"   Nicholls  ","2-22","345",""
"   Mississippi Valley State  ","4-22","346",""
"   ULM  ","1-25","347",""
"   Hartford  ","4-26","348",""
"   Western Carolina  ","3-23","349",""
"   Morehead State  ","0-27","350",""
"   Florida A&M  ","3-24","351",""
"   Winthrop  ","5-22","352",""
"   Alcorn State  ","2-22","353",""
"   South Carolina State  ","4-25","354",""
"   Charleston Southern  ","2-26","355",""
"   Delaware State  ","0-24","356",""
