"Team","Record","NET Rank","NET Delta"
"   Oral Roberts  ","17-11","135",""
"   UTSA  ","18-15","136",""
"   ULM  ","19-14","137",""
"   Southern Miss  ","19-14","138",""
"   South Dakota  ","20-13","139",""
"   Pacific  ","18-15","140",""
"   Vermont  ","24-12","141",""
"   Purdue Fort Wayne  ","21-13","142",""
"   San Diego State  ","20-13","143",""
"   Hawaii  ","20-11","144",""
"   North Carolina A&T  ","20-12","145",""
"   Southern Indiana  ","23-7","146",""
"   Stephen F. Austin  ","20-12","147",""
"   Charleston  ","20-10","148",""
"   Kentucky  ","12-20","149",""
"   Saint Louis  ","20-18","150",""
"   Central Arkansas  ","19-12","151",""
"   New Mexico  ","20-11","152",""
"   Rutgers  ","8-24","153",""
"   Montana State  ","17-16","154",""
"   Penn  ","13-13","155",""
"   San Francisco  ","13-16","156",""
"   Monmouth  ","21-10","157",""
"   UIC  ","18-16","158",""
"   Tulane  ","12-20","159",""
"   Albany  ","24-7","160",""
"   Pittsburgh  ","8-24","161",""
"   Drexel  ","18-15","162",""
"   UAB  ","17-14","163",""
"   Cal Poly  ","17-14","164",""
"   Brown  ","15-11","165",""
"   Loyola-Chicago  ","15-16","166",""
"   Texas A&M-Corpus Christi  ","19-9","167",""
"   UC Davis  ","18-14","168",""
"   Appalachian State  ","17-15","169",""
"   Northern Colorado  ","13-16","170",""
"   Louisiana Tech  ","12-19","171",""
"   Louisiana  ","15-14","172",""
"   Western Kentucky  ","14-17","173",""
"   Arkansas State  ","12-17","174",""
"   Towson  ","20-11","175",""
"   Bowling Green  ","16-15","176",""
"   Southeastern Louisiana  ","16-12","177",""
"   William & Mary  ","15-14","178",""
"   FIU  ","20-12","179",""
"   Eastern Kentucky  ","19-12","180",""
"   Siena  ","18-12","181",""
"   Idaho  ","13-16","182",""
"   George Washington  ","12-18","183",""
"   Fordham  ","10-17","184",""
"   Buffalo  ","18-14","185",""
"   Holy Cross  ","20-13","186",""
"   East Tennessee State  ","16-12","187",""
"   Austin Peay  ","15-15","188",""
"   Abilene Christian  ","11-16","189",""
"   UTA  ","17-16","190",""
"   Northwestern  ","9-21","191",""
"   Delaware  ","11-20","192",""
"   Wofford  ","13-13","193",""
"   Lipscomb  ","15-13","194",""
"   Nevada  ","15-16","195",""
"   Arkansas-Pine Bluff  ","15-16","196",""
"   Mercer  ","15-17","197",""
"   Campbell  ","15-14","198",""
"   Wright State  ","16-15","199",""
"   Utah Tech  ","16-14","200",""
"   Niagara  ","21-14","201",""
"   Milwaukee  ","14-16","202",""
"   UC Riverside  ","16-14","203",""
"   Air Force  ","13-17","204",""
"   Georgia State  ","13-15","205",""
"   Long Beach State  ","14-18","206",""
"   UNCG  ","17-12","207",""
"   Saint Mary's College  ","12-18","208",""
"   San Diego  ","8-22","209",""
"   Southern Illinois  ","11-20","210",""
"   Fresno State  ","13-18","211",""
"   New Mexico State  ","12-18","212",""
"   Colgate  ","19-14","213",""
"   Sacred Heart  ","22-10","214",""
"   Texas State  ","12-18","215",""
"   Wichita State  ","10-22","216",""
"   Georgia Southern  ","13-18","217",""
"   Loyola-Marymount  ","9-19","218",""
"   Tennessee-Martin  ","15-17","219",""
"   UC Santa Barbara  ","14-15","220",""
"   Idaho State  ","10-19","221",""
"   Incarnate Word  ","15-11","222",""
"   Tennessee Tech  ","14-15","223",""
"   FAU  ","10-19","224",""
"   Grambling State  ","20-10","225",""
"   Howard  ","15-16","226",""
"   Southern  ","14-15","227",""
"   Coastal Carolina  ","11-21","228",""
"   UTEP  ","10-19","229",""
"   Binghamton  ","12-17","230",""
"   Northern Kentucky  ","10-20","231",""
"   UC San Diego  ","10-19","232",""
"   Youngstown State  ","13-18","233",""
"   Maryland Eastern Shore  ","12-15","234",""
"   Western Illinois  ","14-12","235",""
"   Saint Thomas  ","13-16","236",""
"   Western Michigan  ","11-18","237",""
"   Detroit  ","17-16","238",""
"   Boston University  ","19-12","239",""
"   Morehead State  ","12-15","240",""
"   Jacksonville  ","9-20","241",""
"   Little Rock  ","12-18","242",""
"   Manhattan  ","18-12","243",""
"   Northern Illinois  ","14-16","244",""
"   Dayton  ","10-19","245",""
"   Lehigh  ","16-13","246",""
"   Stetson  ","15-15","247",""
"   Bethune-Cookman  ","12-16","248",""
"   Indiana State  ","11-20","249",""
"   Cal State Fullerton  ","10-21","250",""
"   Canisius  ","16-14","251",""
"   Yale  ","8-19","252",""
"   Akron  ","11-18","253",""
"   Oakland  ","10-17","254",""
"   Jacksonville State  ","10-17","255",""
"   Eastern Illinois  ","15-18","256",""
"   Denver  ","7-22","257",""
"   Kennesaw State  ","9-19","258",""
"   Samford  ","11-16","259",""
"   Nicholls  ","11-18","260",""
"   Furman  ","12-16","261",""
"   Texas A&M-Commerce  ","13-16","262",""
"   Coppin State  ","12-18","263",""
"   Tarleton State  ","10-20","264",""
"   Ohio  ","11-19","265",""
"   North Alabama  ","10-18","266",""
"   Loyola-Maryland  ","16-15","267",""
"   Cornell  ","7-19","268",""
"   Le Moyne  ","18-15","269",""
"   High Point  ","18-12","270",""
"   UMKC  ","10-20","271",""
"   Alabama A&M  ","14-16","272",""
"   Southern Utah  ","7-22","273",""
"   Quinnipiac  ","13-18","274",""
"   Bucknell  ","13-18","275",""
"   Northwestern State  ","9-19","276",""
"   New Orleans  ","11-19","277",""
"   Omaha  ","6-23","278",""
"   Bryant  ","13-15","279",""
"   IUPUI  ","7-23","280",""
"   Utah Valley  ","9-19","281",""
"   Weber State  ","7-25","282",""
"   Mount Saint Mary's  ","14-17","283",""
"   UMass  ","5-27","284",""
"   San Jose State  ","6-24","285",""
"   Bellarmine  ","8-19","286",""
"   North Dakota  ","7-20","287",""
"   Elon  ","10-20","288",""
"   Saint Bonaventure  ","4-26","289",""
"   North Florida  ","6-21","290",""
"   Sacramento State  ","6-25","291",""
"   La Salle  ","8-22","292",""
"   Radford  ","14-18","293",""
"   American  ","10-20","294",""
"   Navy  ","12-17","295",""
"   Tennessee State  ","9-19","296",""
"   Hofstra  ","10-21","297",""
"   New Hampshire  ","8-20","298",""
"   Presbyterian College  ","18-15","299",""
"   Miami (OH)  ","9-20","300",""
"   Cal State Bakersfield  ","7-21","301",""
"   UMBC  ","8-19","302",""
"   Valparaiso  ","5-25","303",""
"   Southeast Missouri  ","7-20","304",""
"   Sam Houston State  ","5-22","305",""
"   Iona  ","11-19","306",""
"   NJIT  ","12-18","307",""
"   Seattle University  ","6-23","308",""
"   South Alabama  ","7-23","309",""
"   North Carolina Central  ","13-15","310",""
"   Alcorn State  ","11-20","311",""
"   UTRGV  ","6-23","312",""
"   South Carolina Upstate  ","15-16","313",""
"   Army  ","10-17","314",""
"   Northeastern  ","10-17","315",""
"   Florida A&M  ","9-21","316",""
"   Central Michigan  ","5-22","317",""
"   Fairleigh Dickinson  ","13-17","318",""
"   Charleston Southern  ","10-19","319",""
"   Xavier  ","1-27","320",""
"   Lafayette  ","10-20","321",""
"   Eastern Michigan  ","6-22","322",""
"   Merrimack  ","12-19","323",""
"   Lindenwood  ","6-21","324",""
"   Marist  ","6-25","325",""
"   Portland State  ","6-23","326",""
"   Morgan State  ","6-20","327",""
"   SIUE  ","4-26","328",""
"   Winthrop  ","11-16","329",""
"   Bradley  ","5-26","330",""
"   Robert Morris  ","4-24","331",""
"   Dartmouth  ","5-19","332",""
"   Rider  ","10-21","333",""
"   UMass-Lowell  ","4-25","334",""
"   UNC Asheville  ","9-20","335",""
"   Pepperdine  ","3-25","336",""
"   Prairie View A&M  ","8-18","337",""
"   Cal State Northridge  ","3-26","338",""
"   Hampton  ","3-26","339",""
"   Texas Southern  ","6-22","340",""
"   Longwood  ","7-21","341",""
"   Evansville  ","4-28","342",""
"   Central Connecticut  ","9-21","343",""
"   Utah State  ","4-24","344",""
"   Saint Peter's  ","7-23","345",""
"   Queens  ","4-22","346",""
"   Mississippi Valley State  ","4-27","347",""
"   Houston Christian  ","2-23","348",""
"   Gardner-Webb  ","6-24","349",""
"   Western Carolina  ","3-24","350",""
"   Delaware State  ","5-20","351",""
"   McNeese  ","2-25","352",""
"   UNCW  ","4-25","353",""
"   Long Island  ","8-22","354",""
"   Alabama State  ","3-26","355",""
"   Wagner  ","6-21","356",""
"   Chicago State  ","0-26","357",""
"   South Carolina State  ","2-28","358",""
"   Stonehill  ","4-26","359",""
"   Saint Francis (PA)  ","5-25","360",""
