Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
50,Florida,SEC,,21,11,68.0,64.8,3.25,,11.81,,9.90,5.17,15.06,64.65,38.83,25.81
51,Florida Gulf Coast,A-Sun,,30,3,78.1,59.2,18.91,,-0.68,,13.24,1.75,14.99,66.38,42.62,23.76
52,Alabama,SEC,,20,14,71.5,66.2,5.26,,9.60,,11.56,3.31,14.87,71.32,46.02,25.29
53,West Virginia,Big 12,,15,15,66.5,65.2,1.30,,13.51,,7.80,7.02,14.81,61.88,37.16,24.72
54,Washington State,Pac-12,,19,11,60.1,60.0,0.07,,14.64,,2.71,12.00,14.70,61.19,38.24,22.95
55,Dayton,A-10,,26,6,65.8,55.3,10.56,,3.68,,3.17,11.07,14.24,63.15,38.31,24.83
56,Missouri,SEC,,18,13,70.5,67.5,3.10,,10.96,,10.31,3.75,14.06,74.32,49.95,24.37
57,Northwestern,Big Ten,,17,12,66.9,63.9,3.03,,10.90,,5.22,8.71,13.93,63.91,40.73,23.18
58,Mississippi State,SEC,,15,14,71.1,68.0,3.17,,10.17,,10.53,2.81,13.34,68.31,45.76,22.56
59,Belmont,OVC,,23,8,69.5,56.5,13.06,,-0.01,,5.83,7.23,13.06,67.72,43.95,23.77
60,Massachusetts,A-10,,26,7,71.7,61.6,10.09,,2.89,,10.48,2.50,12.98,71.92,49.32,22.61
61,Southern California,Pac-12,,12,16,64.3,64.7,-0.36,,13.15,,7.52,5.28,12.79,63.63,43.50,20.14
62,Northern Iowa,MVC,,23,11,69.0,58.4,10.59,,4.03,,5.01,7.62,12.63,62.35,41.41,20.94
63,Marquette,Big East,,23,11,67.1,60.4,6.74,,5.65,,3.96,8.42,12.38,63.67,42.32,21.36
64,Michigan State,Big Ten,,15,15,70.6,67.1,3.47,,8.90,,8.44,3.93,12.37,70.03,48.66,21.38
65,Vanderbilt,SEC,,16,19,63.0,61.4,1.60,,10.74,,3.29,9.05,12.34,61.97,40.12,21.85
66,Buffalo,MAC,,25,9,75.8,66.6,9.18,,2.94,,11.31,0.81,12.12,67.72,47.62,20.10
67,Middle Tennessee,CUSA,,27,8,68.4,57.7,10.77,,1.32,,5.46,6.63,12.09,65.76,43.39,22.38
68,Texas Tech,Big 12,,11,19,65.8,68.1,-2.27,,14.09,,7.55,4.28,11.83,67.90,47.60,20.31
69,Stephen F. Austin,WAC,,28,5,74.8,55.6,19.18,,-3.76,,6.03,5.79,11.82,56.93,37.09,19.84
70,Oklahoma State,Big 12,,9,20,57.7,61.6,-3.93,,15.68,,-0.10,11.84,11.75,56.42,35.77,20.65
71,Villanova,Big East,,24,9,64.9,60.9,4.06,,7.69,,2.51,9.24,11.75,64.93,44.16,20.77
72,Tulane,AAC,,21,10,72.5,64.8,7.68,,5.34,,11.56,-0.08,11.48,67.87,47.08,20.79
73,Portland,WCC,,20,11,70.6,62.0,8.61,,4.55,,6.95,4.42,11.37,53.95,38.93,15.02
74,Purdue,Big Ten,,17,15,69.2,67.3,1.81,,9.44,,8.95,2.30,11.25,66.57,47.15,19.42
75,Toledo,MAC,,29,6,72.4,61.1,11.34,,-0.26,,6.79,4.29,11.08,68.58,48.61,19.97
76,IU Indy,Horizon,,24,5,70.5,56.4,14.03,,-3.08,,4.88,6.08,10.96,67.44,47.00,20.44
77,Rhode Island,A-10,,22,7,63.3,52.8,10.55,,0.26,,0.15,10.66,10.82,62.78,43.36,19.43
78,Wake Forest,ACC,,16,17,65.0,63.0,1.94,,8.24,,6.06,4.11,10.17,64.81,46.55,18.26
79,California,Pac-12,,11,13,68.5,66.4,2.04,,9.80,,6.54,3.44,9.98,55.02,41.04,13.97
80,Nevada-Las Vegas,MWC,,26,7,75.3,64.7,10.61,,-0.72,,9.34,0.55,9.89,62.51,46.42,16.10
81,Houston,AAC,,18,16,63.2,61.1,2.06,,7.53,,3.41,6.18,9.59,59.80,41.39,18.41
82,Fordham,A-10,,18,11,62.2,58.1,4.10,,5.48,,1.47,8.12,9.58,63.26,44.90,18.36
83,Washington,Pac-12,,7,16,56.2,61.1,-4.96,,14.51,,-0.60,10.15,9.56,55.93,41.77,14.16
84,Drake,MVC,,20,14,73.4,68.1,5.35,,5.29,,11.05,-1.58,9.47,62.66,46.80,15.86
85,Minnesota,Big Ten,,15,18,69.7,71.8,-2.06,,11.46,,9.81,-0.42,9.40,69.96,52.93,17.03
86,Auburn,SEC,,10,18,63.7,65.9,-2.18,,10.29,,4.19,3.93,8.11,60.99,45.03,15.96
87,Pittsburgh,ACC,,11,19,61.7,65.1,-3.40,,11.37,,3.08,4.89,7.97,58.27,42.76,15.51
88,Seton Hall,Big East,,24,13,69.3,68.1,1.27,,6.64,,8.11,-0.20,7.91,66.81,51.00,15.81
89,Southern Illinois,MVC,,21,10,63.1,56.9,6.16,,2.34,,-0.71,8.58,7.87,60.67,45.36,15.31
90,Virginia Commonwealth,A-10,,16,12,60.7,58.2,2.50,,4.95,,-0.23,7.68,7.45,62.86,48.02,14.84
91,San Diego,WCC,,17,15,60.7,65.7,-4.97,,5.57,,4.34,2.89,7.23,,,
92,Towson,CAA,,24,8,73.9,61.1,12.84,,-3.27,,6.97,0.03,7.00,56.88,43.76,13.12
93,Charlotte,CUSA,,22,10,63.2,59.0,4.25,,2.45,,-0.49,7.19,6.70,57.40,43.08,14.32
94,New Mexico,MWC,,26,10,76.6,67.6,8.97,,-1.01,,11.16,-4.54,6.62,56.57,45.64,10.94
95,Syracuse,ACC,,11,18,71.0,74.8,-3.83,,10.45,,11.96,-5.34,6.62,66.43,52.32,14.10
96,Clemson,ACC,,10,21,64.4,70.7,-6.29,,12.82,,6.80,-0.27,6.53,64.18,50.46,13.73
97,Old Dominion,CUSA,,24,10,63.8,55.8,7.97,,-0.86,,0.15,5.95,6.11,55.59,42.83,12.75
98,Liberty,A-Sun,,28,5,65.5,52.4,13.15,,-4.02,,-1.55,7.64,6.09,56.22,42.29,13.94
99,Rutgers,Big Ten,,11,20,58.4,60.0,-1.58,,7.62,,-4.97,11.01,6.04,56.44,44.10,12.33
100,Jackson State,SWAC,,23,7,79.5,62.6,16.93,,-11.03,,8.94,-3.03,5.91,64.13,49.91,14.22
101,San Francisco,WCC,,17,16,67.9,67.8,0.09,,5.51,,5.79,-0.19,5.60,55.68,46.86,8.82
102,Southern Methodist,AAC,,14,15,60.7,61.3,-0.66,,5.89,,-0.61,5.84,5.23,55.96,44.07,11.88
103,Wyoming,MWC,,17,13,64.6,60.9,3.70,,2.56,,-0.41,5.61,5.20,49.04,41.34,7.69
104,Penn State,Big Ten,,11,18,70.6,74.9,-4.31,,9.21,,9.67,-4.76,4.90,65.00,54.68,10.32
105,Troy,Sun Belt,,24,9,78.9,68.8,10.12,,-3.71,,10.02,-5.22,4.81,52.61,42.20,10.42
106,Tulsa,AAC,,17,11,69.5,64.8,4.68,,1.16,,6.91,-2.11,4.79,62.91,51.53,11.38
107,Drexel,CAA,,28,6,65.3,56.3,9.00,,-4.29,,-0.82,5.54,4.71,64.75,51.59,13.16
108,Columbia,Ivy,,25,7,68.6,62.0,6.66,,-1.96,,4.90,-0.20,4.70,61.31,50.68,10.63
109,Temple,AAC,,13,15,59.7,61.4,-1.71,,6.35,,0.58,4.05,4.63,55.91,44.57,11.34
110,Wichita State,AAC,,14,16,64.1,62.9,1.13,,3.46,,2.08,2.52,4.59,55.74,44.66,11.09
111,Ball State,MAC,,20,13,71.4,68.1,3.30,,1.25,,6.66,-2.11,4.55,63.81,53.89,9.92
112,Kent State,MAC,,19,12,68.3,61.8,6.48,,1.12,,0.55,3.80,4.36,57.61,48.03,9.58
113,Delaware,CAA,,24,8,72.0,63.9,8.09,,-2.86,,6.73,-2.50,4.23,60.08,49.97,10.11
114,North Texas,CUSA,,17,13,66.3,61.7,4.63,,0.63,,1.99,2.23,4.21,57.05,46.38,10.67
115,Colorado State,MWC,,21,12,69.0,63.0,6.00,,-0.44,,3.39,0.81,4.20,52.80,43.92,8.88
116,St. John's (NY),Big East,,12,19,72.0,73.7,-1.68,,5.33,,9.91,-6.26,3.65,67.67,58.67,9.00
117,UT Arlington,Sun Belt,,20,8,70.0,66.5,3.54,,0.05,,4.41,-0.82,3.59,60.43,49.62,10.81
118,Bowling Green State,MAC,,17,16,72.8,68.9,3.91,,1.14,,7.20,-3.65,3.55,61.36,52.66,8.71
119,Green Bay,Horizon,,19,8,61.9,55.8,6.11,,-2.65,,-2.35,5.81,3.46,58.73,48.90,9.83
120,UC Davis,Big West,,15,13,61.9,58.8,3.11,,1.60,,-1.32,4.46,3.14,50.61,43.85,6.76
121,Long Beach State,Big West,,19,9,61.9,57.3,4.68,,-1.14,,-1.97,4.98,3.01,50.92,43.54,7.39
122,Murray State,OVC,,22,10,72.7,62.1,10.59,,-5.76,,3.92,-0.95,2.97,62.03,52.17,9.86
123,Loyola (IL),MVC,,18,12,59.7,55.7,4.03,,-0.17,,-6.51,9.31,2.80,49.68,41.75,7.93
124,Virginia,ACC,,5,22,55.0,65.5,-10.44,,13.22,,-2.03,4.80,2.78,54.20,46.46,7.75
125,Air Force,MWC,,19,14,61.6,58.3,3.30,,0.31,,-4.03,6.72,2.69,42.85,38.03,4.82
126,Harvard,Ivy,,13,14,70.9,67.4,3.56,,-0.93,,8.38,-5.75,2.63,64.84,56.95,7.89
127,TCU,Big 12,,6,22,60.3,73.4,-13.11,,15.73,,2.34,0.28,2.62,56.99,48.55,8.44
128,UC Irvine,Big West,,21,12,66.5,60.8,5.64,,-1.33,,0.96,1.62,2.58,49.23,42.21,7.02
129,Davidson,A-10,,18,15,63.5,61.7,1.88,,0.69,,1.70,0.88,2.57,62.82,54.16,8.66
130,Bucknell,Patriot,,24,10,62.6,54.9,7.68,,-5.16,,-2.50,5.01,2.52,57.42,48.99,8.43
131,Kansas City,Summit,,23,9,71.6,65.7,5.94,,-0.36,,5.54,-3.09,2.45,59.71,52.88,6.84
132,Saint Mary's (CA),WCC,,18,15,69.7,72.1,-2.36,,4.73,,6.81,-4.44,2.37,55.12,50.91,4.21
133,Richmond,A-10,,16,14,70.5,67.1,3.43,,-1.11,,6.93,-4.61,2.32,64.00,55.92,8.08
134,Illinois State,MVC,,19,14,65.0,63.8,1.18,,2.62,,1.97,0.33,2.30,60.49,53.63,6.87
135,Fairfield,MAAC,,25,7,64.7,57.0,7.69,,-5.52,,-1.29,3.46,2.17,63.95,55.14,8.81
136,Ohio,MAC,,15,15,73.3,71.6,1.67,,1.92,,8.36,-6.24,2.13,60.82,54.16,6.66
137,Santa Clara,WCC,,16,15,70.2,68.6,1.65,,3.67,,4.70,-2.61,2.09,48.65,45.45,3.21
138,Louisiana Tech,CUSA,,21,12,67.1,60.2,6.88,,-2.20,,-0.21,2.20,2.00,53.00,45.59,7.41
139,Stony Brook,AEC,,23,6,67.4,56.5,10.90,,-8.96,,1.33,0.61,1.93,59.45,51.73,7.72
140,Nevada,MWC,,20,13,66.6,62.5,4.18,,-0.23,,-0.05,1.91,1.87,49.82,45.15,4.68
141,Memphis,AAC,,16,12,62.3,61.3,1.00,,0.85,,-0.66,2.52,1.85,58.10,50.44,7.67
142,Mercer,Southern,,23,7,64.4,56.9,7.53,,-5.83,,-2.16,3.86,1.70,55.16,46.38,8.78
143,California Baptist,WAC,,23,9,75.6,69.2,6.38,,-4.77,,9.54,-7.93,1.61,53.53,47.54,5.99
144,Cleveland State,Horizon,,21,9,70.0,60.3,9.67,,-5.49,,2.92,-1.37,1.55,53.39,47.97,5.42
145,Montana,Big Sky,,19,11,67.9,60.6,7.33,,-4.99,,-0.42,1.71,1.29,52.83,46.76,6.07
146,Saint Joseph's,A-10,,13,17,58.3,60.0,-1.70,,2.81,,-3.50,4.61,1.11,59.48,53.85,5.63
147,East Carolina,AAC,,11,18,60.2,59.4,0.76,,0.17,,-3.16,4.09,0.93,49.67,43.42,6.25
148,La Salle,A-10,,16,12,65.4,63.5,1.82,,-1.13,,1.77,-1.07,0.70,60.06,54.53,5.53
149,Quinnipiac,MAAC,,21,12,67.5,60.3,7.21,,-6.66,,1.57,-1.02,0.55,59.76,54.98,4.78
150,Akron,MAC,,17,12,67.1,66.9,0.28,,1.75,,0.91,-0.41,0.50,57.26,52.82,4.44
151,Northern Kentucky,Horizon,,21,8,66.1,59.1,7.00,,-6.14,,-0.29,0.64,0.36,56.80,51.97,4.83
152,Idaho State,Big Sky,,19,12,66.8,64.1,2.65,,-0.65,,0.69,-0.44,0.25,51.04,47.54,3.50
153,Providence,Big East,,11,19,59.9,63.9,-3.97,,4.21,,-3.73,3.97,0.24,52.19,47.09,5.10
154,Duquesne,A-10,,11,18,63.8,64.6,-0.72,,0.90,,1.09,-0.92,0.18,59.99,55.34,4.65
155,Tennessee Tech,OVC,,21,11,65.8,61.1,4.69,,-1.87,,-0.84,1.00,0.17,56.64,51.42,5.22
156,Lehigh,Patriot,,19,11,69.0,60.1,8.87,,-7.40,,3.20,-3.04,0.16,56.95,53.12,3.83
157,Hawaii,Big West,,20,10,63.9,63.8,0.10,,0.03,,0.56,-0.43,0.13,54.51,49.72,4.79
158,Montana State,Big Sky,,22,13,69.1,68.1,0.94,,-0.75,,3.07,-3.12,-0.05,53.80,50.23,3.57
159,Northern Arizona,Big Sky,,17,14,72.8,71.0,1.81,,-1.90,,7.55,-7.65,-0.09,57.82,54.66,3.16
160,Western Michigan,MAC,,16,14,65.0,63.1,1.97,,1.83,,-3.32,3.22,-0.10,49.06,45.95,3.11
161,Youngstown State,Horizon,,23,7,65.4,57.2,8.13,,-5.76,,-1.41,1.16,-0.26,54.30,50.29,4.02
162,San Diego State,MWC,,15,16,62.6,63.7,-1.10,,1.27,,-2.98,2.62,-0.36,,,
163,Louisiana,Sun Belt,,18,7,66.9,57.9,9.00,,-5.20,,-3.95,3.53,-0.43,46.94,40.85,6.09
164,Wisconsin,Big Ten,,8,21,57.9,67.2,-9.28,,8.66,,-3.58,2.95,-0.62,56.62,54.58,2.04
165,Western Kentucky,CUSA,,18,12,70.5,69.3,1.20,,-0.66,,6.02,-6.71,-0.69,56.71,53.13,3.58
166,Marshall,CUSA,,15,13,63.6,60.0,3.64,,-1.09,,-3.75,2.93,-0.82,50.41,46.99,3.42
167,Stetson,A-Sun,,20,12,63.2,56.5,6.72,,-3.09,,-4.87,4.05,-0.83,47.57,43.76,3.81
168,Northern Illinois,MAC,,14,15,66.7,69.2,-2.59,,1.74,,0.22,-1.06,-0.84,57.74,54.58,3.16
169,Rice,CUSA,,14,13,66.9,65.8,1.07,,-0.42,,2.04,-3.00,-0.96,54.41,50.29,4.11
170,Little Rock,Sun Belt,,17,10,60.9,57.5,3.37,,-2.26,,-7.35,6.38,-0.98,47.38,42.62,4.77
171,Saint Louis,A-10,,9,18,59.8,64.1,-4.26,,3.20,,-2.65,1.60,-1.06,53.72,50.40,3.31
172,Fresno State,MWC,,11,18,69.3,69.1,0.21,,1.18,,3.38,-4.54,-1.16,48.89,48.42,0.48
173,UAB,CUSA,,16,15,67.2,63.4,3.81,,-3.98,,0.47,-2.14,-1.67,52.61,49.88,2.73
174,Boston University,Patriot,,17,14,62.5,59.6,2.84,,-4.62,,-1.78,0.00,-1.78,58.04,56.27,1.77
175,Pennsylvania,Ivy,,12,14,64.7,60.2,4.58,,-2.74,,-1.30,-0.48,-1.78,51.25,49.49,1.76
176,Jacksonville State,A-Sun,,24,8,66.2,58.8,7.38,,-6.89,,-2.63,0.84,-1.79,51.10,47.91,3.18
177,Austin Peay,OVC,,20,13,66.1,60.2,5.91,,-5.89,,-3.03,1.24,-1.80,54.52,52.00,2.53
178,UTEP,CUSA,,14,15,65.2,65.4,-0.17,,-1.82,,0.28,-2.26,-1.99,56.11,53.96,2.16
179,Yale,Ivy,,16,11,58.5,56.8,1.70,,-3.69,,-6.44,4.46,-1.99,50.23,48.30,1.94
180,James Madison,CAA,,14,15,63.6,64.6,-1.03,,-0.97,,-0.59,-1.42,-2.00,57.42,54.92,2.50
181,Southern Utah,Big Sky,,18,12,70.6,65.8,4.87,,-3.40,,1.35,-3.53,-2.19,49.55,49.20,0.35
182,Cincinnati,AAC,,11,17,59.8,66.2,-6.43,,4.17,,-1.41,-0.85,-2.26,51.96,49.57,2.39
183,Utah Valley,WAC,,16,15,63.4,60.2,3.19,,-3.91,,-4.78,2.39,-2.39,50.78,49.22,1.55
184,Illinois,Big Ten,,7,20,64.4,74.4,-10.07,,7.55,,2.47,-4.99,-2.52,57.77,56.94,0.84
185,UC Santa Barbara,Big West,,15,12,61.2,57.1,4.07,,-3.34,,-6.11,3.57,-2.54,46.45,47.34,-0.88
186,College of Charleston,CAA,,18,13,74.9,66.1,8.77,,-7.24,,6.47,-9.09,-2.62,55.44,53.49,1.95
187,Georgia Southern,Sun Belt,,18,10,79.3,68.4,10.89,,-7.41,,5.93,-8.58,-2.65,47.70,45.83,1.87
188,Oral Roberts,Summit,,16,15,65.8,65.0,0.84,,0.38,,-1.44,-1.25,-2.69,46.83,46.63,0.20
189,Elon,CAA,,17,12,62.3,62.3,0.07,,-2.81,,-3.71,0.97,-2.74,55.52,54.41,1.10
190,American,Patriot,,23,9,59.4,56.6,2.78,,-5.61,,-5.69,2.86,-2.83,53.49,52.61,0.89
191,George Washington,A-10,,13,18,51.6,55.2,-3.58,,1.91,,-11.36,8.47,-2.89,46.21,46.34,-0.12
192,Southern Mississippi,CUSA,,18,12,66.7,64.0,2.67,,-3.81,,-0.14,-2.77,-2.91,51.51,50.00,1.51
193,UC Riverside,Big West,,14,11,60.7,57.6,3.12,,-2.35,,-6.13,3.17,-2.96,42.08,42.78,-0.69
194,Eastern Illinois,OVC,,16,14,67.9,65.5,2.43,,-2.91,,1.29,-4.26,-2.98,51.28,51.25,0.03
195,Tennessee-Martin,OVC,,12,18,55.6,58.1,-2.43,,-0.56,,-9.89,6.90,-2.99,50.24,50.71,-0.46
196,Indiana State,MVC,,11,20,64.0,65.6,-1.61,,0.42,,-0.74,-2.34,-3.08,55.09,55.67,-0.58
197,Milwaukee,Horizon,,14,16,58.6,59.1,-0.50,,-2.62,,-5.71,2.59,-3.12,53.68,53.10,0.58
198,Northern Colorado,Big Sky,,15,16,62.0,60.8,1.16,,-3.49,,-6.04,2.82,-3.22,48.76,49.34,-0.59
199,Manhattan,MAAC,,21,11,66.2,61.3,4.91,,-8.20,,-0.64,-2.65,-3.29,55.25,55.69,-0.44
200,Florida International,CUSA,,15,16,64.1,62.2,1.90,,-2.98,,-3.05,-0.25,-3.30,48.04,47.19,0.85
201,Holy Cross,Patriot,,20,11,60.4,56.5,3.84,,-6.04,,-5.40,1.90,-3.50,51.47,51.41,0.05
202,Grand Canyon,WAC,,22,10,65.8,61.0,4.84,,-5.47,,-4.01,0.47,-3.54,46.60,46.60,0.00
203,North Dakota State,Summit,,11,18,64.2,65.9,-1.69,,1.81,,-1.00,-2.67,-3.67,52.22,53.94,-1.72
204,Idaho,Big Sky,,14,18,68.5,70.1,-1.66,,-0.43,,2.58,-6.30,-3.72,50.29,50.89,-0.60
205,UC San Diego,Big West,,13,14,60.9,60.0,0.89,,-2.64,,-5.07,1.09,-3.98,43.48,45.54,-2.06
206,Vermont,AEC,,20,11,61.5,54.3,7.16,,-11.30,,-5.04,0.89,-4.14,55.71,56.14,-0.44
207,Albany (NY),AEC,,23,10,57.1,49.6,7.48,,-10.28,,-10.81,6.66,-4.16,51.34,51.01,0.33
208,Miami (OH),MAC,,8,21,67.4,72.2,-4.79,,0.50,,1.50,-5.80,-4.30,53.82,55.60,-1.78
209,Northeastern,CAA,,14,18,61.9,62.6,-0.66,,-4.03,,-4.35,-0.34,-4.69,53.38,54.94,-1.56
210,Oakland,Horizon,,15,15,62.6,64.0,-1.37,,-3.33,,-2.69,-2.00,-4.70,55.47,58.06,-2.60
211,Georgetown,Big East,,10,19,60.1,67.9,-7.83,,4.70,,-3.72,-1.05,-4.77,50.50,52.53,-2.03
212,Longwood,Big South,,22,12,71.5,68.1,3.35,,-8.20,,3.65,-8.50,-4.85,56.03,56.70,-0.66
213,Loyola Marymount,WCC,,11,19,59.2,66.7,-7.43,,3.22,,-5.08,0.13,-4.95,43.65,46.66,-3.01
214,Abilene Christian,WAC,,17,13,73.9,66.6,7.27,,-5.97,,4.28,-9.32,-5.04,54.02,55.52,-1.50
215,North Dakota,Summit,,15,15,67.2,69.1,-1.83,,-1.66,,0.82,-6.19,-5.37,50.78,53.86,-3.08
216,Maine,AEC,,20,12,58.3,56.8,1.59,,-7.01,,-6.87,1.46,-5.41,54.49,56.05,-1.56
217,Sacramento State,Big Sky,,14,16,64.8,65.6,-0.77,,-3.89,,-2.45,-3.03,-5.48,55.07,58.94,-3.87
218,Valparaiso,MVC,,11,19,60.1,67.2,-7.17,,1.57,,-3.06,-2.53,-5.60,55.47,60.31,-4.84
219,North Florida,A-Sun,,13,17,65.6,62.2,3.33,,-3.05,,-3.69,-1.99,-5.68,45.50,47.84,-2.34
220,Cal State Fullerton,Big West,,11,18,60.3,64.7,-4.34,,-1.60,,-3.37,-2.57,-5.94,48.32,53.44,-5.12
221,Arkansas State,Sun Belt,,12,16,77.6,73.0,4.57,,-6.03,,5.96,-11.95,-5.99,52.70,54.88,-2.18
222,Pacific,WCC,,6,23,68.2,77.0,-8.72,,4.81,,5.17,-11.18,-6.01,44.77,49.70,-4.93
223,Boise State,MWC,,8,21,62.1,65.2,-3.10,,0.50,,-4.29,-1.73,-6.02,37.60,42.32,-4.72
224,Weber State,Big Sky,,11,20,64.0,66.9,-2.87,,-3.15,,-2.59,-3.43,-6.02,48.82,53.19,-4.37
225,Xavier,Big East,,9,21,62.3,72.8,-10.50,,4.30,,-2.31,-3.89,-6.20,52.45,56.50,-4.06
226,Pepperdine,WCC,,8,17,59.6,67.5,-7.96,,1.74,,-5.04,-1.18,-6.22,46.53,53.01,-6.48
