Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
68,Georgia Tech,ACC,,17,16,67.7,67.0,0.73,,11.89,,7.42,5.20,12.62,101.12,84.68,16.44
69,Boston College,ACC,,14,19,71.0,69.7,1.30,,10.79,,10.67,1.43,12.09,101.38,85.88,15.50
70,Missouri,SEC,,11,19,70.0,71.0,-1.03,,12.94,,9.47,2.44,11.91,103.73,88.75,14.99
71,Saint Joseph's,A-10,,28,6,65.3,54.5,10.85,,0.82,,1.60,10.07,11.67,100.42,82.77,17.65
72,George Mason,A-10,,23,8,71.1,58.7,12.39,,0.36,,5.83,5.63,11.46,99.19,83.04,16.15
73,Toledo,MAC,,28,6,72.7,60.1,12.62,,-0.41,,6.64,4.68,11.32,100.89,85.06,15.83
74,Belmont,MVC,,26,9,70.6,62.3,8.26,,2.85,,3.87,7.23,11.11,100.62,85.34,15.28
75,UCF,Big 12,,12,17,64.1,64.6,-0.45,,12.20,,4.38,6.53,10.92,97.30,82.90,14.40
76,Brigham Young,Big 12,,16,17,65.4,65.7,-0.33,,11.10,,5.77,4.99,10.77,99.62,85.64,13.98
77,Clemson,ACC,,12,19,69.6,70.3,-0.65,,11.18,,8.99,1.55,10.54,102.83,88.62,14.21
78,Cincinnati,Big 12,,14,18,62.4,66.0,-3.59,,13.48,,3.09,6.80,9.89,96.67,83.28,13.39
79,Houston,Big 12,,14,16,67.7,68.6,-0.97,,10.70,,7.37,2.36,9.74,96.60,85.01,11.59
80,Santa Clara,WCC,,25,9,69.6,59.1,10.41,,2.32,,4.58,5.15,9.73,103.25,89.08,14.17
81,St. John's (NY),Big East,,18,15,60.4,58.2,2.21,,7.31,,0.06,9.46,9.53,99.22,85.66,13.56
82,Marshall,Sun Belt,,26,7,85.3,71.8,13.48,,-0.81,,16.80,-7.29,9.51,102.18,90.97,11.20
83,Georgia,SEC,,12,18,63.2,66.9,-3.70,,13.12,,2.79,6.63,9.42,94.86,83.05,11.81
84,Virginia Commonwealth,A-10,,26,6,63.3,53.2,10.13,,-0.05,,-1.36,10.50,9.15,96.19,82.54,13.65
85,Georgetown,Big East,,23,12,57.9,55.1,2.74,,6.39,,-3.08,12.21,9.13,93.31,80.48,12.82
86,Rhode Island,A-10,,21,14,64.1,56.7,7.46,,1.61,,0.62,8.44,9.06,96.15,83.45,12.70
87,Oregon,Pac-12,,11,21,59.8,67.3,-7.50,,16.54,,1.81,7.23,9.04,96.18,84.60,11.58
88,Stony Brook,CAA,,28,5,72.9,57.6,15.27,,-6.32,,6.73,2.23,8.96,95.29,83.86,11.43
89,Ball State,MAC,,28,6,72.7,60.9,11.76,,-2.05,,4.47,4.48,8.95,99.26,86.61,12.65
90,Temple,AAC,,20,12,69.9,62.9,7.03,,1.84,,5.75,3.12,8.87,96.16,84.36,11.80
91,North Texas,AAC,,23,9,74.3,64.2,10.16,,0.76,,8.46,0.36,8.82,99.23,87.49,11.74
92,Cleveland State,Horizon,,29,6,74.3,61.4,12.94,,-4.33,,6.21,2.41,8.62,99.25,87.89,11.36
93,Davidson,A-10,,18,8,65.0,55.4,9.58,,-1.06,,0.11,8.41,8.52,98.80,86.55,12.24
94,Rice,AAC,,19,15,67.2,63.0,4.15,,3.82,,2.73,5.24,7.96,95.81,84.74,11.06
95,Arizona State,Pac-12,,11,20,61.5,70.1,-8.65,,16.42,,4.13,3.64,7.78,97.85,88.02,9.83
96,DePaul,Big East,,12,20,71.2,71.4,-0.16,,7.74,,11.59,-4.00,7.58,98.79,88.94,9.85
