Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
221,Western Illinois,OVC,,,17,17,71.6,68.8,2.74,,-6.99,,0.72,-7.49,-6.77,90.85,100.88,-10.03
222,North Dakota,Summit,,,12,19,66.3,70.1,-3.77,,-0.85,,-1.17,-5.68,-6.85,87.15,97.09,-9.95
223,Jacksonville State,CUSA,,,10,20,59.4,60.2,-0.87,,-2.25,,-9.87,3.01,-6.86,80.61,90.98,-10.37
224,Northwestern State,Southland,,,16,16,62.8,60.5,2.25,,-3.99,,-5.60,-1.33,-6.93,84.11,93.83,-9.72
225,Incarnate Word,Southland,,,18,14,61.2,59.7,1.53,,-3.54,,-7.88,0.34,-7.54,84.82,95.24,-10.43
226,Maine,AEC,,,15,16,58.3,58.5,-0.23,,-5.47,,-8.15,0.54,-7.60,88.25,100.26,-12.01
227,Texas-Rio Grande Valley,Southland,,,16,16,60.8,60.9,-0.09,,-4.09,,-7.36,-0.30,-7.66,83.85,94.25,-10.40
228,Manhattan,MAAC,,,16,15,61.7,58.9,2.84,,-10.64,,-6.82,-0.99,-7.80,85.21,96.13,-10.92
229,UC Riverside,Big West,,,17,15,58.4,57.6,0.84,,-7.25,,-9.58,1.66,-7.92,83.31,94.47,-11.16
230,Maryland-Eastern Shore,MEAC,,,14,17,61.4,60.8,0.55,,-5.16,,-6.74,-1.20,-7.93,81.42,92.75,-11.32
231,Weber State,Big Sky,,,13,16,64.4,67.8,-3.34,,-2.57,,-2.99,-4.94,-7.93,88.56,99.85,-11.30
232,Appalachian State,Sun Belt,,,13,17,65.2,68.0,-2.77,,-1.04,,-4.20,-3.77,-7.96,87.58,99.01,-11.44
233,Jacksonville,A-Sun,,,14,17,68.7,71.9,-3.23,,-4.02,,-0.33,-7.72,-8.05,87.89,99.15,-11.26
234,Charlotte,AAC,,,11,21,59.1,66.9,-7.75,,-0.57,,-5.50,-2.81,-8.32,85.15,97.38,-12.22
235,Denver,Summit,,,9,21,63.8,67.5,-3.67,,-3.23,,-4.78,-3.60,-8.38,89.10,101.53,-12.43
236,Alabama A&M,SWAC,,,21,11,64.0,61.1,2.97,,-11.35,,-6.27,-2.12,-8.39,84.51,96.29,-11.78
237,George Washington,A-10,,,13,18,58.3,61.3,-3.03,,-3.57,,-8.06,-0.35,-8.41,82.99,95.17,-12.18
238,Little Rock,OVC,,,14,16,62.1,66.0,-3.87,,-2.99,,-7.37,-1.17,-8.54,85.23,96.95,-11.72
239,Northern Kentucky,Horizon,,,11,21,65.3,69.3,-4.03,,-3.97,,-1.67,-6.91,-8.58,89.10,101.85,-12.75
240,Delaware,CAA,,,13,17,63.1,64.3,-1.20,,-7.47,,-3.74,-4.93,-8.67,86.23,99.04,-12.81
241,Texas A&M-Corpus Christi,Southland,,,15,17,61.2,58.4,2.84,,-5.40,,-8.72,0.00,-8.73,79.98,92.38,-12.40
242,Northern Illinois,MAC,,,13,17,67.5,71.1,-3.60,,-3.43,,-0.54,-8.27,-8.81,89.14,102.04,-12.89
243,Long Beach State,Big West,,,16,14,68.2,68.7,-0.53,,-5.84,,1.07,-9.97,-8.91,87.18,99.15,-11.97
244,Bellarmine,A-Sun,,,18,15,74.5,73.1,1.42,,-8.34,,3.28,-12.26,-8.98,89.81,102.35,-12.54
245,UTEP,CUSA,,,11,19,60.5,66.1,-5.57,,-1.98,,-5.16,-3.90,-9.05,87.01,100.76,-13.75
246,Florida International,CUSA,,,11,19,64.0,66.6,-2.63,,-2.67,,-4.26,-4.82,-9.08,84.85,98.43,-13.58
247,Robert Morris,Horizon,,,15,16,60.4,61.7,-1.32,,-7.02,,-8.84,-0.35,-9.19,82.92,96.20,-13.28
248,Sam Houston,CUSA,,,13,17,60.7,63.1,-2.43,,-2.37,,-7.04,-2.15,-9.19,79.50,92.62,-13.12
249,California Baptist,WAC,,,12,19,65.9,73.5,-7.58,,-1.83,,-0.29,-9.12,-9.41,89.52,103.00,-13.48
250,South Dakota,Summit,,,11,20,65.8,72.2,-6.39,,0.21,,-3.34,-6.10,-9.43,89.21,103.59,-14.38
251,Western Michigan,MAC,,,12,18,57.6,64.0,-6.40,,-2.11,,-9.88,0.39,-9.49,84.44,98.64,-14.21
252,Omaha,Summit,,,14,17,67.7,73.5,-5.81,,-0.08,,-1.57,-7.96,-9.53,86.19,98.83,-12.64
253,Cornell,Ivy,,,7,20,52.7,59.9,-7.22,,-2.32,,-12.35,2.80,-9.54,80.98,95.76,-14.78
254,Texas State,Sun Belt,,,13,17,62.1,66.2,-4.03,,-2.37,,-7.35,-2.20,-9.55,82.43,96.16,-13.73
255,San Diego,WCC,,,7,24,60.5,65.0,-4.52,,-1.83,,-6.38,-3.18,-9.56,84.73,99.03,-14.30
256,Towson,CAA,,,12,20,59.2,62.1,-2.97,,-6.59,,-7.97,-1.59,-9.56,80.99,94.90,-13.91
257,Cal Poly,Big West,,,14,18,57.6,60.2,-2.59,,-4.33,,-9.38,-0.32,-9.70,81.54,95.71,-14.17
258,Austin Peay,A-Sun,,,13,18,59.1,63.8,-4.71,,-5.15,,-10.80,0.79,-10.01,81.50,95.23,-13.73
259,Longwood,Big South,,,22,12,68.9,59.3,9.56,,-15.53,,-5.82,-4.36,-10.17,79.57,94.81,-15.24
260,Southern Mississippi,Sun Belt,,,10,21,61.0,67.4,-6.39,,-1.81,,-7.75,-2.47,-10.22,83.86,98.62,-14.76
261,Siena,MAAC,,,17,14,64.6,65.8,-1.16,,-9.21,,-3.02,-7.35,-10.37,87.97,102.45,-14.49
262,Monmouth,CAA,,,16,15,62.3,63.2,-0.94,,-9.48,,-5.70,-4.71,-10.41,84.94,99.80,-14.86
263,Furman,Southern,,,16,16,67.8,64.6,3.19,,-7.77,,-2.54,-7.88,-10.42,85.43,100.63,-15.21
264,Elon,CAA,,,15,15,58.5,61.7,-3.23,,-5.68,,-10.43,-0.11,-10.54,78.33,93.60,-15.27
265,Bryant,AEC,,,17,15,58.0,59.2,-1.25,,-8.64,,-9.07,-1.61,-10.68,82.73,98.77,-16.04
266,Pepperdine,WCC,,,8,22,56.3,65.6,-9.33,,-1.45,,-9.50,-1.28,-10.78,81.43,97.86,-16.42
267,Kansas City,Summit,,,12,21,65.6,70.2,-4.61,,-1.48,,-4.69,-6.19,-10.88,85.64,100.91,-15.28
268,Stony Brook,CAA,,,12,18,58.9,61.5,-2.60,,-7.13,,-8.04,-3.08,-11.13,83.96,100.72,-16.77
269,Marist,MAAC,,,16,15,57.9,59.0,-1.06,,-10.09,,-10.34,-0.82,-11.16,81.04,97.13,-16.09
270,Loyola (IL),A-10,,,13,17,58.1,64.0,-5.83,,-3.94,,-9.16,-2.03,-11.19,82.76,99.25,-16.49
271,Binghamton,AEC,,,15,15,59.8,58.0,1.87,,-9.42,,-8.42,-2.82,-11.24,85.16,101.46,-16.30
272,San Jose State,MWC,,,10,22,65.3,72.1,-6.75,,-1.36,,-2.02,-9.30,-11.32,86.16,102.04,-15.88
273,Indiana State,MVC,,,4,28,65.8,78.1,-12.38,,0.98,,-0.21,-11.18,-11.39,85.33,100.41,-15.08
274,William & Mary,CAA,,,16,19,61.9,67.1,-5.11,,-5.47,,-4.30,-7.15,-11.44,83.12,99.82,-16.70
275,Detroit Mercy,Horizon,,,15,15,63.9,70.0,-6.10,,-4.40,,-4.70,-6.91,-11.61,82.33,98.32,-15.99
276,Hofstra,CAA,,,14,16,58.4,62.1,-3.77,,-7.97,,-9.71,-2.03,-11.74,79.65,96.70,-17.06
277,Western Carolina,Southern,,,13,17,69.9,68.3,1.57,,-6.79,,-2.28,-9.51,-11.79,87.59,103.72,-16.14
278,NJIT,AEC,,,11,19,63.7,65.0,-1.37,,-10.55,,-2.91,-9.00,-11.92,85.50,103.39,-17.90
279,North Alabama,A-Sun,,,13,17,66.9,68.2,-1.33,,-8.08,,-4.95,-7.02,-11.98,87.76,104.99,-17.23
280,Stetson,A-Sun,,,16,15,67.6,69.0,-1.42,,-7.40,,-4.04,-8.22,-12.26,84.72,101.93,-17.21
281,Samford,Southern,,,12,19,66.9,70.9,-3.94,,-1.58,,-3.48,-8.80,-12.28,84.75,101.43,-16.68
282,Akron,MAC,,,10,21,62.6,67.7,-5.13,,-4.70,,-6.18,-6.21,-12.39,85.05,103.27,-18.22
283,La Salle,A-10,,,10,23,56.6,66.9,-10.24,,-0.31,,-8.44,-3.97,-12.41,78.86,96.42,-17.55
284,Merrimack,MAAC,,,14,17,59.5,62.9,-3.42,,-8.99,,-8.26,-4.15,-12.41,80.08,97.46,-17.38
285,Utah State,MWC,,,4,27,65.5,78.0,-12.55,,0.07,,0.15,-12.63,-12.48,85.66,102.57,-16.90
286,Milwaukee,Horizon,,,8,24,60.9,68.1,-7.22,,-4.39,,-7.32,-5.33,-12.65,83.27,101.48,-18.21
287,UNC Wilmington,CAA,,,14,18,64.2,66.4,-2.22,,-6.50,,-4.62,-8.17,-12.80,83.01,100.97,-17.96
288,Grambling,SWAC,,,15,15,66.8,65.7,1.10,,-8.24,,-4.46,-8.37,-12.83,79.92,96.92,-17.00
289,IU Indy,Horizon,,,9,21,63.4,70.8,-7.40,,-5.51,,-3.55,-9.36,-12.91,83.95,102.66,-18.71
290,Southern Utah,WAC,,,9,21,60.0,66.7,-6.70,,-2.53,,-8.56,-4.40,-12.95,82.41,101.50,-19.09
291,West Georgia,A-Sun,,,13,17,67.3,68.7,-1.40,,-8.26,,-4.53,-9.02,-13.55,83.59,102.44,-18.85
292,Loyola (MD),Patriot,,,9,21,56.4,61.0,-4.63,,-7.55,,-11.95,-1.91,-13.86,80.67,101.58,-20.91
293,Texas Southern,SWAC,,,17,16,66.2,67.5,-1.36,,-9.62,,-4.66,-9.25,-13.90,80.71,99.68,-18.97
294,Boston University,Patriot,,,12,19,57.7,64.4,-6.65,,-7.26,,-8.65,-5.26,-13.91,83.22,103.88,-20.66
295,Youngstown State,Horizon,,,12,19,59.7,62.8,-3.10,,-6.36,,-11.17,-2.76,-13.93,78.00,97.54,-19.54
296,Maryland-Baltimore County,AEC,,,14,15,57.3,59.1,-1.83,,-8.19,,-11.45,-2.67,-14.12,78.68,100.03,-21.35
297,Florida A&M,SWAC,,,9,21,65.0,66.7,-1.77,,-10.12,,-6.38,-7.84,-14.23,82.17,102.26,-20.09
298,Jackson State,SWAC,,,16,15,59.0,63.5,-4.48,,-10.05,,-10.46,-4.07,-14.53,79.32,99.09,-19.77
299,Wright State,Horizon,,,10,22,63.4,71.5,-8.03,,-6.36,,-5.41,-9.21,-14.61,83.50,103.62,-20.11
300,Sacred Heart,MAAC,,,9,20,58.9,64.2,-5.34,,-8.50,,-8.92,-5.72,-14.64,79.23,99.54,-20.31
301,New Orleans,Southland,,,5,24,60.6,72.1,-11.59,,-3.13,,-4.19,-10.53,-14.71,79.48,98.44,-18.95
302,Tennessee State,OVC,,,10,21,64.7,72.6,-7.94,,-6.25,,-4.90,-9.88,-14.78,80.42,100.51,-20.08
303,Oakland,Horizon,,,9,22,59.4,71.1,-11.68,,-1.52,,-8.02,-7.03,-15.05,81.13,103.01,-21.88
304,Dartmouth,Ivy,,,8,19,54.2,62.3,-8.07,,-2.44,,-13.36,-1.75,-15.12,77.40,101.09,-23.69
305,New Hampshire,AEC,,,10,20,53.0,58.5,-5.47,,-7.85,,-14.30,-0.90,-15.20,75.75,98.36,-22.61
306,Evansville,MVC,,,7,25,61.6,74.4,-12.75,,-1.00,,-6.46,-8.77,-15.23,78.53,99.37,-20.84
307,Portland State,Big Sky,,,4,24,55.9,68.2,-12.36,,-2.89,,-10.56,-4.69,-15.24,82.15,104.79,-22.64
308,Saint Peter's,MAAC,,,11,19,53.2,58.7,-5.50,,-9.75,,-15.19,-0.06,-15.25,79.34,101.73,-22.39
309,East Texas A&M,Southland,,,7,22,62.9,70.1,-7.21,,-4.80,,-5.89,-10.20,-16.10,82.87,104.43,-21.56
310,Lafayette,Patriot,,,10,21,56.4,66.7,-10.39,,-6.06,,-10.52,-5.92,-16.44,82.84,108.06,-25.21
311,South Alabama,Sun Belt,,,6,24,62.6,73.7,-11.13,,-3.12,,-5.71,-10.84,-16.55,81.14,103.55,-22.41
312,Iona,MAAC,,,11,21,55.6,62.8,-7.19,,-9.51,,-12.78,-3.92,-16.70,78.67,102.16,-23.49
313,Radford,Big South,,,14,17,62.5,65.5,-3.06,,-10.46,,-9.55,-7.14,-16.70,79.63,103.12,-23.49
314,Cal State Fullerton,Big West,,,7,23,58.4,63.7,-5.30,,-7.83,,-10.33,-6.78,-17.11,78.54,103.32,-24.78
315,Mercer,Southern,,,8,22,52.5,64.1,-11.63,,-5.69,,-14.24,-3.08,-17.32,75.57,101.24,-25.67
316,Alcorn State,SWAC,,,14,18,59.6,65.3,-5.75,,-8.76,,-10.72,-6.64,-17.36,80.24,104.62,-24.37
317,Hampton,CAA,,,8,23,58.3,68.2,-9.90,,-6.84,,-9.66,-7.75,-17.41,76.93,101.92,-24.98
318,Eastern Michigan,MAC,,,2,27,60.0,76.7,-16.69,,-0.73,,-5.79,-11.63,-17.42,86.22,111.25,-25.03
319,Charleston Southern,Big South,,,14,16,57.3,65.8,-8.47,,-9.16,,-11.59,-6.03,-17.62,77.44,101.88,-24.44
320,Yale,Ivy,,,4,23,53.2,70.1,-16.96,,-0.76,,-10.53,-7.19,-17.72,78.01,103.89,-25.88
321,Morehead State,OVC,,,10,20,67.6,72.7,-5.13,,-7.45,,-5.98,-11.77,-17.75,79.55,103.61,-24.06
322,Utah Tech,WAC,,,6,25,62.8,74.7,-11.94,,-3.82,,-5.36,-12.73,-18.09,80.98,105.80,-24.82
323,SIU Edwardsville,OVC,,,6,23,62.9,73.6,-10.69,,-6.13,,-6.35,-12.11,-18.46,82.00,107.15,-25.15
324,Queens (NC),A-Sun,,,10,19,65.3,70.0,-4.69,,-9.04,,-7.30,-11.26,-18.56,79.19,104.54,-25.35
325,Morgan State,MEAC,,,13,17,59.3,64.9,-5.57,,-9.99,,-11.54,-7.16,-18.69,75.32,101.49,-26.17
326,Gardner-Webb,Big South,,,11,18,66.1,70.7,-4.52,,-13.30,,-4.76,-13.97,-18.72,83.94,110.21,-26.27
327,St. Bonaventure,A-10,,,6,24,53.1,69.2,-16.13,,-2.65,,-11.89,-6.89,-18.78,77.52,105.56,-28.04
328,Bethune-Cookman,SWAC,,,10,21,60.4,62.4,-1.97,,-11.26,,-12.21,-6.60,-18.81,73.70,99.96,-26.26
329,Canisius,MAAC,,,10,21,55.1,64.7,-9.68,,-9.26,,-13.46,-5.48,-18.94,73.95,100.62,-26.67
330,Winthrop,Big South,,,16,15,60.8,61.3,-0.48,,-13.91,,-13.91,-5.21,-19.12,75.87,103.00,-27.14
331,Ohio,MAC,,,6,23,58.2,73.2,-14.93,,-1.53,,-9.55,-9.59,-19.13,77.54,104.16,-26.62
332,Houston Christian,Southland,,,6,23,49.1,63.7,-14.59,,-2.91,,-16.77,-2.37,-19.14,71.17,99.07,-27.90
333,McNeese State,Southland,,,10,21,61.7,67.5,-5.77,,-4.82,,-9.32,-10.02,-19.34,76.01,101.59,-25.58
334,Southern Illinois,MVC,,,4,26,57.7,76.4,-18.70,,1.15,,-10.07,-9.37,-19.44,77.31,104.33,-27.02
335,Southeast Missouri State,OVC,,,6,23,61.5,73.9,-12.38,,-5.27,,-9.06,-10.88,-19.95,77.23,103.14,-25.91
336,Stonehill,NEC,,,17,16,63.6,66.2,-2.58,,-16.14,,-8.10,-12.04,-20.14,81.95,110.59,-28.64
337,Rider,MAAC,,,7,22,56.0,65.1,-9.14,,-11.14,,-12.77,-7.51,-20.28,73.40,102.24,-28.85
338,Central Connecticut State,NEC,,,11,19,61.3,66.9,-5.67,,-13.86,,-10.34,-10.80,-21.13,79.09,109.03,-29.94
339,North Florida,A-Sun,,,5,26,62.0,73.8,-11.77,,-4.91,,-10.38,-11.43,-21.81,78.67,108.94,-30.27
340,Massachusetts-Lowell,AEC,,,3,25,47.3,62.3,-15.00,,-7.12,,-18.61,-3.51,-22.12,67.14,100.72,-33.58
341,Mercyhurst,NEC,,,9,18,65.0,68.1,-3.11,,-15.16,,-8.45,-14.42,-22.87,76.51,108.85,-32.34
342,Seattle,WAC,,,4,26,58.0,74.0,-15.93,,-4.94,,-10.81,-12.17,-22.98,74.72,106.01,-31.29
343,Cal State Bakersfield,Big West,,,2,28,49.9,67.3,-17.40,,-5.99,,-16.68,-6.72,-23.39,69.84,102.74,-32.90
344,North Carolina Central,MEAC,,,9,21,60.7,79.2,-18.53,,-3.78,,-6.76,-17.40,-24.16,73.20,103.87,-30.67
345,Prairie View,SWAC,,,10,19,59.9,67.2,-7.34,,-11.49,,-14.02,-10.20,-24.22,73.53,107.42,-33.89
346,Chicago State,NEC,,,7,26,60.6,76.5,-15.88,,-8.70,,-8.69,-15.89,-24.57,74.54,107.65,-33.11
347,Mississippi Valley State,SWAC,,,8,23,59.6,73.9,-14.29,,-10.37,,-9.92,-14.75,-24.66,75.50,108.44,-32.95
348,Cal State Northridge,Big West,,,4,25,55.4,74.1,-18.69,,-6.15,,-11.39,-14.62,-26.01,71.34,106.27,-34.93
349,American,Patriot,,,1,29,54.0,72.5,-18.47,,-7.71,,-12.89,-13.28,-26.17,72.30,109.64,-37.35
350,Saint Francis (PA),NEC,,,11,19,54.8,65.9,-11.10,,-15.24,,-17.19,-9.15,-26.34,70.75,108.95,-38.20
351,Arkansas-Pine Bluff,SWAC,,,3,25,53.5,66.2,-12.68,,-10.63,,-16.68,-9.80,-26.48,67.64,104.52,-36.88
352,Presbyterian,Big South,,,6,24,55.3,66.7,-11.43,,-14.03,,-16.10,-10.44,-26.54,69.60,107.92,-38.31
353,Northeastern,CAA,,,3,25,49.9,67.7,-17.79,,-8.83,,-17.77,-8.84,-26.61,72.07,111.68,-39.61
354,South Carolina Upstate,Big South,,,9,21,53.3,67.4,-14.13,,-10.69,,-18.56,-8.24,-26.80,67.93,105.36,-37.43
355,Le Moyne,NEC,,,7,24,53.9,69.0,-15.10,,-12.10,,-16.43,-10.76,-27.19,72.99,112.91,-39.91
356,UNC Asheville,Big South,,,4,27,58.2,67.2,-9.00,,-14.09,,-14.60,-12.87,-27.47,70.58,109.10,-38.52
357,Alabama State,SWAC,,,6,24,49.0,70.5,-21.50,,-4.21,,-19.43,-8.42,-27.85,67.73,106.54,-38.80
358,Niagara,MAAC,,,3,25,57.1,77.8,-20.64,,-6.40,,-10.86,-17.73,-28.59,69.07,105.80,-36.73
359,Wagner,NEC,,,8,21,59.0,66.4,-7.41,,-16.00,,-17.21,-12.05,-29.26,68.27,110.20,-41.93
360,Long Island University,NEC,,,6,24,53.4,67.5,-14.13,,-15.43,,-18.11,-11.45,-29.56,68.49,110.98,-42.49
361,South Carolina State,MEAC,,,2,29,49.8,71.0,-21.16,,-10.51,,-20.00,-11.68,-31.68,66.55,111.69,-45.14
362,Delaware State,MEAC,,,5,24,54.5,71.7,-17.21,,-8.36,,-17.31,-14.81,-32.12,68.40,113.75,-45.35
