"_id","rowId","updated","competitionId","gameId","stint","flowStint","teamId","teamMarket","conferenceId","divisionId","isExhib","inDivision","isQualified","lineupId","periodNumber","gameFlowPeriod","sStart","sEnd","cStart","cEnd","secs","scoreStart","scoreStartFixed","scoreEnd","scoreStartAgst","scoreStartAgstFixed","scoreEndAgst","ptsScored","ptsAgst","netPts","fgm","fga","fgm2","fga2","fgm3","fga3","ftm","fta","ast","stl","tov","drb","orb","fgmAgst","fgaAgst","fgm2Agst","fga2Agst","fgm3Agst","fga3Agst","ftaAgst","astAgst","tovAgst","stlAgst","drbAgst","orbAgst","cDiff","reb","rebAgst","fg2Pct","fg3Pct","ftPct","oPoss","dPoss","avgPoss","oppp","dppp","netppp","transferKeyPctile","netpppPctile","opppPctile","dpppPctile","pId1","pName1","pId2","pName2","pId3","pName3","pId4","pName4","pId5","pName5"
"693fd810a9a4229a72964b43","2695431-105097-11","2025-11-12T19:04:13Z","41098","2695431","13","11","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","2","2","834","869","06:06","05:31","35","22","22","25","15","15","15","3","0","3","1","1","1","1","0","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","00:35","0","0","1","","0.5","1.8","1","1.4","1.6667","0","1.6667","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964ba3","2695431-105097-12","2025-11-12T19:04:13Z","41098","2695431","14","12","105097","LMU (CA)","30","1","false","true","false","2118049-1925105-2291264-1688590-2118064","2","2","869","930","05:31","04:30","61","25","25","27","15","15","15","2","0","2","1","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","01:01","0","0","1","","","1","1","1","2","0","2","","","","","2118049","Mari Somvichian","1925105","Andjela Matic","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964c68","2695431-105097-13","2025-11-12T19:04:13Z","41098","2695431","15","13","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2291264-1688590-2118064","2","2","930","988","04:30","03:32","58","27","27","29","15","15","15","2","0","2","1","4","1","3","0","1","0","0","1","0","0","1","2","0","2","0","2","0","0","0","0","1","0","0","1","00:58","3","1","0.3333","0","","0.79","1.93","1.36","2.5316","0","2.5316","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72964587","2695431-105097-14","2025-11-12T19:04:13Z","41098","2695431","16","14","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","2","2","988","1022","03:32","02:58","34","29","29","29","15","15","15","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","00:34","0","1","","0","","1","0","0.5","0","","","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a729658db","2695431-105097-15","2025-11-12T19:04:13Z","41098","2695431","17","15","105097","LMU (CA)","30","1","false","true","true","2138783-1925105-2270840-2481512-2118064","2","2","1022","1067","02:58","02:13","45","29","29","29","15","15","20","0","5","-5","0","2","0","2","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0","3","0","1","0","2","0","00:45","0","2","0","","","2","3.2","2.6","0","1.5625","-1.5625","0","0.04","0.13","0.14","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a7296486e","2695431-105097-16","2025-11-12T19:04:13Z","41098","2695431","18","16","105097","LMU (CA)","30","1","false","true","false","2118049-2138783-1925105-2481512-2118064","2","2","1067","1110","02:13","01:30","43","29","29","29","20","20","20","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","00:43","1","1","0","","","1","1","1","0","0","0","","","","","2118049","Mari Somvichian","2138783","Jess Lawson","1925105","Andjela Matic","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a72964588","2695431-105097-17","2025-11-12T19:04:13Z","41098","2695431","19","17","105097","LMU (CA)","30","1","false","true","false","2118049-2138783-1925105-1688590-2481512","2","2","1110","1145.9","01:30","00:54","35.9","29","29","29","20","20","20","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","00:36","1","0","","0","","-0.07","0","-0.035","0","","","","","","","2118049","Mari Somvichian","2138783","Jess Lawson","1925105","Andjela Matic","1688590","Carly Heidger","2481512","Kayla Jones"
"693fd810a9a4229a72964c0d","2695431-105097-18","2025-11-12T19:04:13Z","41098","2695431","20","18","105097","LMU (CA)","30","1","false","true","false","2118049-2138783-1925105-2481512-2118064","2","2","1145.9","1200","00:54","00:00","54.1","29","29","33","20","20","20","4","0","4","1","1","1","1","0","0","2","2","1","1","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","00:54","1","0","1","","1","1.8","2","1.9","2.2222","0","2.2222","","","","","2118049","Mari Somvichian","2138783","Jess Lawson","1925105","Andjela Matic","2481512","Kayla Jones","2118064","Maya Hernandez"
"693fd810a9a4229a7296547e","2695431-105097-19","2025-11-12T19:04:13Z","41098","2695431","21","19","105097","LMU (CA)","30","1","false","true","false","2138783-1925105-2270840-1688590-2118064","3","3","1200","1331","10:00","07:49","131","33","33","38","20","20","23","5","3","2","2","2","1","1","1","1","0","0","1","0","0","1","0","1","3","0","1","1","2","0","0","1","0","0","1","02:11","1","1","1","1","","2","2.93","2.465","2.5","1.0239","1.4761","","","","","2138783","Jess Lawson","1925105","Andjela Matic","2270840","Ivana Krajina","1688590","Carly Heidger","2118064","Maya Hernandez"
"693fd810a9a4229a72965b17","2695431-105097-20","2025-11-12T19:04:13Z","41098","2695431","22","20","105097","LMU (CA)","30","1","false","true","true","1925105-2270840-2291264-1688590-2118064","3","3","1331","1432","07:49","06:08","101","38","38","40","23","23","29","2","6","-4","1","4","1","4","0","0","0","0","1","1","1","0","1","2","2","0","0","2","2","0","2","1","0","1","0","01:41","1","1","0.25","","","3.395","3","3.1975","0.5891","2","-1.4109","0","0.05","0.28","0.05","1925105","Andjela Matic","2270840","Ivana Krajina","2291264","Zawadi Ogot","1688590","Carly Heidger","2118064","Maya Hernandez"
