Player,Synergy Role,Height,U18 Season,PTS/G,PPP,D1 Conference,D1 School(s),D1 Season,D1 PPG,Country,Composite Score
Nina Horvath,-,508.0,2022,2.0,0.714,Southland,East Texas A&M,24-25,7.0,Germany,0.319
Jessika Schiffer,Playmaking Wing,509.0,2018,7.0,0.752,MAAC,Rider,23-24,7.0,Germany,0.319
Alice Curman,Playmaking Wing,509.0,2023,3.0,0.66,MVC,SIU,24-25,5.5,Sweden,0.313
Sara Deidda,Spot Up Shooting Wing,,2022,2.0,0.324,SoCon,Wofford,24-25,1.0,Croatia,0.308
Grace Hunter,Playmaking Wing,510.0,2018,4.0,0.5,Big West,CSUB,22-23,8.0,New Zealand,0.302
Lucija Kostic,Playmaking Big,602.0,2018,11.0,0.954,WCC,USF,21-22,2.0,Croatia,0.296
Polyxeni (Zenia) Palaska,Post-Up Big,602.0,2023,5.0,0.681,American East,Vermont,23-24,0.0,Greece,0.29
Shantavia Dawkins,Slashing Wing,508.0,2022,4.0,0.625,A10,Dayton,24-25,2.0,Canada,0.286
Ula Motuga,Rim Finishing Big,602.0,2018,8.0,0.923,PAC12,WSU,22-23,7.0,Australia,0.274
Laura Di Stefano,-,602.0,2022,2.0,0.737,AAC,Tulsa,25-26,,Italy,0.264
Freideriki (Eri) Blithikioti,Secondary Ball Handler,511.0,2023,5.0,0.56,Big West,UC San Diego,24-25,1.0,Greece,0.258
Sara Lundqvist,Stretch Big,602.0,2018,3.0,0.556,D2,Fresno Pacific,22-23,8.0,Sweden,0.254
Miriam Diala,Stretch Big,601.0,2023,3.0,0.447,A10,George Washington,24-25,3.0,Germany,0.253
Kenya Cote Lysius,Playmaking Wing,508.0,2018,3.0,0.615,A10,La Salle,21-22,3.0,Canada,0.253
Anna Maria Prifti,Stretch Big,600.0,2021,4.0,0.429,A10,Saint Louis,21-22,0.6,Greece,0.247
Hana Muhl,Playmaking Wing,508.0,2021,13.0,0.887,MAC,Ball State,23-24,3.0,Croatia,0.243
Lamprini Polymeni,Playmaking Wing,509.0,2021,10.0,0.548,Big Sky,Montana,21-22,0.4,Greece,0.241
Lucija Banovic,Slashing Wing,600.0,2023,15.0,0.839,Ivy,Dartmouth,24-25,2.0,Croatia,0.231
Theoni Tsami,Rim Finishing Big,601.0,2023,5.0,0.56,Big West,UC Davis,24-25,0.0,Greece,0.23
Christina Katsamouri,-,600.0,2018,2.0,0.7,MAAC,Manhattan,22-23,1.5,Greece,0.212
Maddie Morrow,Spot Up Shooting Wing,509.0,2022,4.0,0.88,D2,Art U,24-25,6.0,New Zealand,0.199
Hanna Kajevic,Playmaking Ball Handler,507.0,2023,10.0,0.71,MAC,Cleveland St,25-26,,Sweden,0.182
Rochelle Fourie,Post Up Big,603.0,2018,5.0,0.926,Big West,CSUN,22-23,2.0,New Zealand,0.181
Lovisa Asbrink Hose,Post-up Big,606.0,2022,2.6,0.45,AAC,FAU,24-25,3.4,Sweden,0.174
Olivia Harm,Spot-up shooting wing,601.0,2023,5.3,0.63,Canada,Saskatchewan,24-25,5.0,Sweden,0.171
Paula Graichen,Spot-Up Shooting Wing,604.0,2021,3.0,0.538,D2,Westmont,22-23,5.0,Germany,0.171
Allyah Leusogi-Ape,Playmaking Wing,510.0,2022,8.0,0.93,D2,Grayson,24-25,5.0,New Zealand,0.171
Filippa Goula,Playmaking Ball Handler,507.0,2019,3.0,0.613,Horizon,Cleveland State,24-25,3.0,Greece,0.163
Tonka Jaksic,Playmaking Wing,511.0,2023,5.0,0.561,Lone Star,Eastern New Mexico,24-25,3.0,Croatia,0.163
Clara Rosini,-,510.0,2019,2.0,0.484,Southland,McNeese,22-23,1.0,Italy,0.153
Paula Haw,-,605.0,2022,2.0,0.867,Big Sky,Sacramento State,24-25,1.0,Germany,0.108
Karla Vres,-,603.0,2017,1.0,0.553,BIG 10,Ohio State,23-24,1.0,Croatia,0.108
Roxane Makolo,Slahing Wing,510.0,2018,9.0,0.643,PAC12,USC,23-24,1.0,Canada,0.108
Jyordanna Davey,Stretch Big,600.0,2022,3.0,0.593,D2,Dodge City,23-24,2.0,New Zealand,0.088
Mikela Cooper,Stretch Big,601.0,2022,5.0,0.692,D2,Bentley,24-25,2.0,Greece,0.088
Ioanna Stefanaki,Playmaking Wing,509.0,2023,1.0,0.28,Big Sky,Idaho State,23-24,0.0,Greece,0.08
