Player,Synergy Role,Height,U18 Season,PTS/G,PPP,D1 Conference,D1 School(s),D1 Season,D1 PPG,Country
Kobe King Hawea,-,511,2018,2,0.917,Big 12,Texas,21-22,4,Australia
Lovisa Asbrink Hose,Post-Up Big,606,2022,2.6,0.45,AAC,FAU,24-25,3.4,Sweden
Hana Muhl,Playmaking Wing,508,2021,13,0.887,MAC,Ball State,23-24,3,Croatia
Mailien Rolf,Playmaking Wing,510,2023,10,0.74,Big 12,Arizona,24-25,3,Germany
Danielle Arigbabu,-,604,2018,5,1.063,Big 12,West Virginia,23-24,3,Germany
Tonka Jaksic,Playmaking Wing,511,2023,5,0.561,Lone Star,Eastern New Mexico,24-25,3,Croatia
Lara Langermann,Playmaking Wing,507,2023,4,0.608,MW,New Mexico,24-25,3,Germany
Filippa Goula,Playmaking Ball Handler,507,2019,3,0.613,Horizon,Cleveland State,24-25,3,Greece
Miriam Diala,Stretch Big,601,2023,3,0.447,A10,George Washington,24-25,3,Germany
Florence Dallow,Slashing Wing,602,2022,8,0.58,WCC,Portland,24-25,3,New Zealand
Vitolia Tuilave,-,602,2022,4,0.947,SoCon,Wofford,23-24,3,New Zealand
Charlotte Whittaker,Rim Finishing Big,603,2018,14,1.045,PAC12,Colorado,23-24,3,New Zealand
Izzy Anstey,Post-Up Big,604,2018,11,0.915,PAC12,UCLA,21-22,3,Australia
Emma Koabel,Dynamic Shooting Wing,511,2022,10,0.886,ACC,Duke,23-24,3,Canada
Kenya Cote Lysius,Playmaking Wing,508,2018,3,0.615,A10,La Salle,21-22,3,Canada
Julia Nystrom,Playmaking Wing,507,2019,4.6,0.44,A10,Saint Joseph's,24-25,2.5,Sweden
Lucija Banovic,Slashing Wing,600,2023,15,0.839,Ivy,Dartmouth,24-25,2,Croatia
Ismini Prapa,Scoring Ball Handler,507,2019,11,0.755,ACC,Pittsburg,19-20,2,Greece
Lucija Kostic,Playmaking Big,602,2018,11,0.954,WCC,USF,21-22,2,Croatia
Marta Savic,Post-Up Big,601,2019,7,0.75,MW,Wyoming,23-24,2,Croatia
Mikela Cooper,Stretch Big,601,2022,5,0.692,D2,Bentley,24-25,2,Greece
Jyordanna Davey,Stretch Big,600,2022,3,0.593,D2,Dodge City,23-24,2,New Zealand
Rochelle Fourie,Post-Up Big,603,2018,5,0.926,Big West,CSUN,22-23,2,New Zealand
Isla Juffermans,Rim Finishing Big,604,2022,17,1.09,ACC,Louisville,24-25,2,Australia
Shantavia Dawkins,Slashing Wing,508,2022,4,0.625,A10,Dayton,24-25,2,Canada
Frieda Buhner,Stretch Big,,2022,12,0.739,ACC,Florida,22-23,1.5,Germany
Alma Elsnitz,Slashing Wing,511,2019,8.3,0.74,PAC12,California,23-24,1.5,Sweden
Christina Katsamouri,-,600,2018,2,0.7,MAAC,Manhattan,22-23,1.5,Greece
Stella Szabo,Playmaking Wing,511,2022,6.3,0.52,WCC,Pacific,24-25,1.4,Sweden
Freideriki (Eri) Blithikioti,Secondary Ball Handler,511,2023,5,0.56,Big West,UC San Diego,24-25,1,Greece
Hilke Feldrappe,Stretch Big,603,2022,5,0.515,SEC,Missouri,24-25,1,Germany
Anastasia Drosouni,-,511,2021,2,0.33,ACC,Cal,24-25,1,Greece
Clara Rosini,-,510,2019,2,0.484,Southland,McNeese,22-23,1,Italy
Paula Haw,-,605,2022,2,0.867,Big Sky,Sacramento State,24-25,1,Germany
Sara Deidda,Spot Up Shooting Wing,,2022,2,0.324,SoCon,Wofford,24-25,1,Croatia
Karla Vres,-,603,2017,1,0.553,BIG 10,Ohio State,23-24,1,Croatia
Roxane Makolo,Slashing Wing,510,2018,9,0.643,PAC12,USC,23-24,1,Canada
Ida Jonsson Ojala,Post-Up Big,602,2019,5,0.87,MAC,Buffalo,23-24,0.8,Sweden
Tiffany Barbosa,Dynamic Shooting Wing,510,2023,18,0.85,WCC,Portland,24-25,0.7,Sweden
Anna Maria Prifti,Stretch Big,600,2021,4,0.429,A10,Saint Louis,21-22,0.6,Greece
Lamprini Polymeni,Playmaking Wing,509,2021,10,0.548,Big Sky,Montana,21-22,0.4,Greece
Lova Lagerlid,Slashing Wing,600,2023,5.1,0.75,Big 12,Colorado,24-25,0,Sweden
Polyxeni (Zenia) Palaska,Post-Up Big,602,2023,5,0.681,American East,Vermont,23-24,0,Greece
Theoni Tsami,Rim Finishing Big,601,2023,5,0.56,Big West,UC Davis,24-25,0,Greece
Ioanna Stefanaki,Playmaking Wing,509,2023,1,0.28,Big Sky,Idaho St.,23-24,0,Greece
