,Player,Team,Conf,height,mpg,gp,drtgPlayer,ortgPlayer,ws,ows,dws,rapm,orapm,drapm,stl,blk,stlPg,blkPg,Poss,PPP,PPS,TeamDefRtg
835,Sarah Hathorn,Cornell Big Red,IVY,64.0,1.46,4.0,106.25,,,,-0.0,,,,0.0,0.0,0.0,0.0,,,,95.4
836,Sarah Linthacum,Missouri State Lady Bears,MVC,75.0,24.94,34.0,90.05,103.33,3.62,2.2,1.42,3.08,1.71,1.38,24.0,7.0,0.71,0.21,6.6,0.844,0.95,89.8
837,Sarah Miller,Pennsylvania Quakers,IVY,70.0,14.46,26.0,98.62,101.72,0.98,0.69,0.29,-4.27,-1.57,-2.7,8.0,2.0,0.31,0.08,2.4,0.926,1.02,94.1
838,Sasha  Murphy,Saint Mary's Gaels,WCC,,,,,,,,,,,,,,,,0.7,0.923,0.8,94.9
839,Sasha Murphy,Saint Mary's Gaels,WCC,70.0,3.35,20.0,95.3,87.51,0.11,0.04,0.07,-0.05,0.42,-0.48,3.0,1.0,0.15,0.05,,,,94.9
840,Savannah Curry,Temple Owls,AAC,71.0,8.26,31.0,85.85,87.06,0.65,0.11,0.54,2.17,0.71,1.46,16.0,5.0,0.52,0.16,,,,87.7
841,Savannah McGowan,Illinois State Redbirds,MVC,74.0,7.53,23.0,99.5,92.5,0.28,0.16,0.12,-3.89,-2.47,-1.42,3.0,1.0,0.13,0.04,,,,98.5
842,Savannah White,Indiana State Sycamores,MVC,74.0,24.0,31.0,99.55,83.65,0.6,0.1,0.5,-1.18,-0.82,-0.37,32.0,51.0,1.03,1.65,5.9,0.854,0.91,105.2
843,Se'Quoia Allmond,Southern Illinois Salukis,MVC,65.0,22.06,10.0,110.2,96.14,0.23,0.33,-0.1,-0.4,-0.12,-0.28,10.0,0.0,1.0,0.0,,,,109.7
844,Se'Quola Allmond,Southern Illinois Salukis,MVC,,,,,,,,,,,,,,,,4.6,0.826,0.94,109.7
845,Sela Heide,Oregon State Beavers,WCC,79.0,18.32,34.0,87.82,102.68,2.45,1.26,1.19,0.2,-0.71,0.9,5.0,54.0,0.15,1.59,2.4,0.904,0.95,93.7
846,Sela Klein,Brown Bears,IVY,71.0,6.09,12.0,99.13,,,,0.05,0.0,0.53,-0.53,2.0,0.0,0.17,0.0,,,,96.5
847,Semie Brar,Indiana State Sycamores,MVC,64.0,11.41,28.0,110.74,66.97,-0.59,-0.43,-0.17,0.4,-0.58,0.98,2.0,1.0,0.07,0.04,,,,105.2
848,Seynabou Thiam,San Francisco Dons,WCC,78.0,4.39,18.0,83.22,80.22,0.17,-0.02,0.19,-0.03,0.27,-0.3,6.0,4.0,0.33,0.22,1.8,0.97,1.03,92.6
849,Shadasia Brackens,North Texas Mean Green,AAC,71.0,7.51,30.0,84.55,99.17,0.94,0.43,0.51,-1.88,-0.25,-1.62,8.0,5.0,0.27,0.17,,,,85.3
850,Shannon Dowell,Illinois State Redbirds,MVC,70.0,30.5,36.0,99.19,108.45,5.1,4.32,0.77,1.46,1.0,0.46,29.0,13.0,0.81,0.36,8.0,0.941,1.06,98.5
851,Shannon Fornshell,Drake Bulldogs,MVC,73.0,17.36,34.0,99.33,99.03,1.19,0.78,0.41,1.53,2.52,-0.99,16.0,9.0,0.47,0.26,4.3,0.897,0.85,97.1
852,Shannon Wheeler,Dayton Flyers,A10,72.0,18.85,29.0,93.29,89.26,0.99,0.27,0.73,2.68,-0.18,2.86,14.0,11.0,0.48,0.38,4.0,0.795,0.74,89.6
853,Shantavia Dawkins,Dayton Flyers,A10,67.0,9.23,26.0,94.52,68.22,-0.08,-0.37,0.29,-0.92,-1.56,0.64,4.0,1.0,0.15,0.04,,,,89.6
854,Shateah Wetering,Northern Iowa Panthers,MVC,72.0,22.41,31.0,100.35,102.36,1.87,1.47,0.4,1.1,0.78,0.32,29.0,13.0,0.94,0.42,5.0,0.768,0.86,97.9
855,Shelby Hayes,Rice Owls,AAC,74.0,11.06,33.0,90.91,105.89,1.45,0.87,0.58,-0.33,-1.28,0.95,4.0,11.0,0.12,0.33,3.0,0.8,0.86,89.9
856,Sherese Pittman,Tulane Green Wave,AAC,74.0,31.51,30.0,85.65,93.19,3.35,1.34,2.01,4.4,2.34,2.07,37.0,23.0,1.23,0.77,8.4,0.629,0.66,87.5
857,Sheyene Neale,Bradley Braves,MVC,68.0,2.22,4.0,96.98,98.35,0.04,0.04,0.01,,,,0.0,0.0,0.0,0.0,,,,91.3
858,Shun'teria Anumele,Saint Louis Billikens,A10,68.0,20.38,34.0,100.91,78.74,-0.02,-0.38,0.36,-1.52,1.1,-2.62,41.0,0.0,1.21,0.0,,,,99.7
