,Player,Team,Conf,height,mpg,gp,drtgPlayer,ortgPlayer,ws,ows,dws,rapm,orapm,drapm,stl,blk,stlPg,blkPg,Poss,PPP,PPS,TeamDefRtg
0,AJ Marotte,Oregon State Beavers,WCC,73.0,35.2,34.0,98.07,88.67,1.84,0.86,0.99,0.22,0.55,-0.33,16.0,13.0,0.47,0.38,7.8,0.816,0.84,93.7
1,Aaliyah Alexander,UNLV Rebels,MWC,68.0,29.27,34.0,96.06,112.08,3.85,2.82,1.03,8.29,5.19,3.1,25.0,2.0,0.74,0.06,6.0,0.765,0.85,91.1
2,Aanaya Harris,Charlotte 49ers,AAC,71.0,6.29,28.0,95.23,69.86,0.03,-0.17,0.2,-3.25,-1.89,-1.36,11.0,3.0,0.39,0.11,,,,97.7
3,Abbie Aalsma,Drake Bulldogs,MVC,69.0,25.4,34.0,103.35,119.95,2.85,2.62,0.23,6.07,5.68,0.4,18.0,3.0,0.53,0.09,6.6,0.889,0.93,97.1
4,Abby Muse,Boise State Broncos,MWC,74.0,21.37,31.0,89.06,105.26,2.57,1.4,1.18,0.24,1.27,-1.03,25.0,64.0,0.81,2.06,4.5,0.811,0.8,97.1
5,Abby Sharpe,Pennsylvania Quakers,IVY,72.0,9.25,19.0,99.47,99.04,0.34,0.23,0.12,1.23,0.25,0.98,3.0,1.0,0.16,0.05,,,,94.1
6,Abigail Long,Yale Bulldogs,IVY,67.0,8.48,22.0,110.73,80.38,-0.13,-0.04,-0.1,-0.8,0.66,-1.46,1.0,0.0,0.05,0.0,,,,103.8
7,Abigail Shoff,Saint Mary's Gaels,WCC,72.0,22.26,31.0,95.39,91.39,1.39,0.63,0.76,-0.17,0.87,-1.04,24.0,9.0,0.77,0.29,4.8,0.816,0.92,94.9
8,Abigail Wright,Harvard Crimson,IVY,73.0,13.63,29.0,82.38,115.51,2.45,1.46,0.99,4.67,3.32,1.35,18.0,5.0,0.62,0.17,2.4,0.757,0.73,80.7
9,Adalyn Koelling,Murray State Racers,MVC,73.0,4.2,19.0,94.34,68.2,0.0,-0.09,0.1,-1.09,-0.54,-0.55,3.0,0.0,0.16,0.0,,,,95.2
10,Adaora Nwokeji,Princeton Tigers,IVY,68.0,7.31,3.0,95.0,106.52,0.09,0.06,0.03,,,,1.0,0.0,0.33,0.0,,,,89.3
11,Addi Melone,Pepperdine Waves,WCC,63.0,13.27,3.0,89.48,,,,0.07,-0.38,-0.26,-0.12,3.0,0.0,1.0,0.0,4.3,0.846,1.0,98.9
12,Addie Budnik,Richmond Spiders,A10,74.0,29.78,35.0,89.64,121.38,5.73,3.94,1.79,6.24,2.9,3.34,28.0,33.0,0.8,0.94,6.1,0.712,0.82,88.4
13,Addison Martin,Illinois State Redbirds,MVC,72.0,30.96,36.0,100.87,118.79,4.41,3.82,0.59,3.05,3.21,-0.16,27.0,9.0,0.75,0.25,8.0,0.749,0.83,98.5
14,Adebukola Akomolafe,Virginia Commonwealth Rams,A10,70.0,3.85,23.0,89.55,111.91,0.33,0.18,0.15,0.68,0.69,-0.01,2.0,1.0,0.09,0.04,,,,88.2
15,Adena Webster,Temple Owls,AAC,68.0,3.91,4.0,89.55,74.52,0.01,-0.02,0.03,,,,1.0,0.0,0.25,0.0,,,,87.7
16,Adriana Blazquez,Murray State Racers,MVC,72.0,3.05,18.0,101.87,76.83,0.01,-0.02,0.02,,,,0.0,0.0,0.0,0.0,,,,95.2
17,Adryana Quezada,San Diego State Aztecs,MWC,70.0,22.52,32.0,92.38,108.38,3.21,2.18,1.03,1.18,1.04,0.14,19.0,9.0,0.59,0.28,5.3,0.773,0.83,91.6
18,Aicha Ndour,Wichita State Shockers,AAC,78.0,11.71,28.0,88.37,70.02,0.17,-0.43,0.6,-4.95,-3.26,-1.7,7.0,32.0,0.25,1.14,,,,94.1
19,Aima Ofunrein,Brown Bears,IVY,73.0,14.71,24.0,94.52,87.02,0.65,0.22,0.42,-1.72,-0.14,-1.58,16.0,6.0,0.67,0.25,3.1,0.795,0.84,96.5
20,Ajok Madol,Dayton Flyers,A10,74.0,11.82,22.0,82.43,69.74,0.21,-0.44,0.64,-0.57,-1.01,0.44,15.0,9.0,0.68,0.41,,,,89.6
21,Alana  Goodchild,Santa Clara Broncos,WCC,,,,,,,,,,,,,,,,3.7,0.816,0.83,99.3
22,Alana Andrews,Cornell Big Red,IVY,74.0,1.5,7.0,100.69,,,,0.01,,,,0.0,0.0,0.0,0.0,,,,95.4
23,Alana Goodchild,Santa Clara Broncos,WCC,74.0,16.48,29.0,102.0,102.84,1.11,0.92,0.19,-0.74,0.66,-1.39,11.0,5.0,0.38,0.17,,,,99.3
24,Alana Rouser,Florida Atlantic Owls,AAC,72.0,17.4,28.0,85.55,67.35,0.41,-0.64,1.05,-0.62,-0.36,-0.25,24.0,22.0,0.86,0.79,,,,
25,Alannah Chatfield,Fresno State Bulldogs,MWC,68.0,2.59,9.0,107.94,,,,-0.01,,,,0.0,0.0,0.0,0.0,,,,99.8
26,Alasia Smith,Memphis Tigers,AAC,70.0,30.83,30.0,95.24,101.36,2.91,1.87,1.04,3.06,3.87,-0.81,70.0,38.0,2.33,1.27,6.0,0.744,0.83,105.0
27,Alayna Rocco,Harvard Crimson,IVY,70.0,14.63,29.0,85.12,111.59,1.85,0.92,0.94,2.33,0.38,1.95,15.0,10.0,0.52,0.34,2.4,0.614,0.64,80.7
28,Albina Syla,Rhode Island Rams,A10,77.0,5.49,19.0,83.98,107.88,0.51,0.27,0.24,0.59,0.42,0.17,2.0,4.0,0.11,0.21,,,,87.7
29,Aleah Snead,Saint Joseph's Hawks,A10,71.0,20.77,33.0,88.13,117.43,3.24,1.95,1.28,0.51,0.31,0.2,24.0,9.0,0.73,0.27,4.9,0.778,0.8,88.0
30,Aleah Sorrentino,Massachusetts Minutewomen,A10,75.0,9.29,24.0,89.8,93.09,0.63,0.25,0.38,-3.26,-0.89,-2.37,3.0,1.0,0.12,0.04,,,,86.5
31,Alex Covill,Washington State Cougars,WCC,78.0,18.21,26.0,91.9,108.42,2.08,1.39,0.7,-1.93,-0.36,-1.57,9.0,57.0,0.35,2.19,4.8,0.923,0.98,95.3
32,Alexa Kinas,Loyola (Chicago) Ramblers,A10,68.0,15.79,27.0,94.44,89.46,0.77,0.25,0.51,-4.97,-3.52,-1.45,28.0,2.0,1.04,0.07,,,,97.2
33,Alexandra Eldredge,Dartmouth Big Green,IVY,71.0,27.75,22.0,100.36,79.93,0.22,-0.13,0.35,-4.2,-3.01,-1.19,29.0,3.0,1.32,0.14,5.5,0.817,0.86,99.7
34,Alexandra Wilkinson,Temple Owls,AAC,74.0,1.82,2.0,100.65,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,87.7
35,Alexis Andrews,Charlotte 49ers,AAC,68.0,22.12,32.0,102.04,94.9,1.33,1.05,0.28,0.21,-0.05,0.26,26.0,0.0,0.81,0.0,5.1,0.659,0.63,97.7
36,Alexis Black,Virginia Commonwealth Rams,A10,69.0,9.5,2.0,97.68,58.39,-0.03,-0.05,0.02,,,,0.0,0.0,0.0,0.0,,,,88.2
37,Alexis Cortez,Air Force Falcons,MWC,71.0,27.94,26.0,96.25,82.33,0.74,0.0,0.74,-1.49,-1.52,0.04,35.0,3.0,1.35,0.12,5.4,0.633,0.77,93.9
38,Alexis Mark,Portland Pilots,WCC,72.0,30.46,35.0,86.04,105.46,5.12,2.88,2.24,4.4,2.46,1.94,67.0,22.0,1.91,0.63,4.9,0.803,0.85,90.5
39,Alexis Parker,Texas-(San Antonio) Roadrunners,AAC,69.0,7.94,22.0,86.78,63.82,0.11,-0.24,0.35,-0.55,-1.53,0.98,6.0,1.0,0.27,0.05,,,,84.4
40,Ali'a Matavao,Loyola Marymount Lions,WCC,72.0,17.81,6.0,98.48,88.71,0.17,0.09,0.08,-1.09,0.03,-1.12,1.0,1.0,0.17,0.17,3.6,0.862,0.91,99.5
41,Alice Curman,Southern Illinois Salukis,MVC,69.0,23.54,26.0,110.68,74.32,-0.77,-0.46,-0.31,-3.83,-2.29,-1.54,23.0,3.0,0.88,0.12,5.1,1.051,1.11,109.7
42,Alice Dart,Washington State Cougars,WCC,70.0,4.67,21.0,100.75,86.77,0.1,0.05,0.05,-0.7,-0.73,0.03,1.0,2.0,0.05,0.1,2.3,0.755,0.79,95.3
43,Alicia Newell,Richmond Spiders,A10,69.0,7.63,19.0,79.68,83.5,0.43,0.03,0.4,-0.73,-1.18,0.44,12.0,0.0,0.63,0.0,,,,88.4
44,Alisa Blalock,La Salle Explorers,A10,66.0,7.14,19.0,100.9,72.03,-0.12,-0.19,0.07,-2.9,-1.16,-1.73,5.0,0.0,0.26,0.0,,,,97.1
45,Allie Hueckman,Boise State Broncos,MWC,70.0,4.86,13.0,99.75,104.45,0.17,0.13,0.04,-0.2,-0.38,0.18,2.0,0.0,0.15,0.0,,,,97.1
46,Allie Palmieri,Massachusetts Minutewomen,A10,70.0,32.87,32.0,87.78,89.78,2.95,0.93,2.02,0.47,0.71,-0.24,45.0,7.0,1.41,0.22,,,,86.5
47,Allie Turner,Gonzaga Bulldogs,WCC,68.0,32.69,35.0,99.04,113.22,4.58,3.76,0.82,4.37,3.3,1.07,24.0,19.0,0.69,0.54,7.3,0.792,0.82,95.9
48,Allies Palmieri,Massachusetts Minutewomen,A10,,,,,,,,,,,,,,,,6.5,0.696,0.78,86.5
49,Allison Clarke,Loyola Marymount Lions,WCC,71.0,25.37,28.0,105.43,105.02,0.88,0.85,0.03,-1.01,-0.54,-0.47,13.0,5.0,0.46,0.18,4.4,0.857,0.96,99.5
50,Ally Schimel,Oregon State Beavers,WCC,70.0,19.64,34.0,96.55,94.83,1.13,0.47,0.66,2.48,1.8,0.68,22.0,7.0,0.65,0.21,4.6,0.719,0.75,93.7
51,Ally Sweeney,Richmond Spiders,A10,66.0,26.48,35.0,93.31,113.48,3.93,2.7,1.23,5.58,4.76,0.82,22.0,5.0,0.63,0.14,6.5,0.707,0.77,88.4
52,Allyson Fertig,Wyoming Cowgirls,MWC,76.0,34.06,31.0,86.58,111.24,6.79,4.65,2.14,6.49,4.36,2.13,16.0,54.0,0.52,1.74,8.1,0.667,0.7,91.7
53,Allyzee Verdan,Utah State Aggies,MWC,74.0,4.46,5.0,108.75,76.25,-0.01,-0.01,-0.01,-0.33,0.32,-0.65,1.0,0.0,0.2,0.0,,,,105.4
54,Alyssa Brown,UNLV Rebels,MWC,73.0,26.59,34.0,82.4,103.15,4.06,1.81,2.24,3.18,2.14,1.03,49.0,40.0,1.44,1.18,7.4,0.822,0.91,91.1
55,Alyssa Christensen,Boise State Broncos,MWC,75.0,7.02,28.0,93.11,84.48,0.3,0.03,0.26,-0.17,0.82,-0.99,7.0,5.0,0.25,0.18,,,,97.1
56,Alyssa Hargrove,New Mexico Lobos,MWC,68.0,31.58,31.0,93.03,88.81,1.96,0.63,1.33,2.28,2.17,0.1,65.0,28.0,2.1,0.9,7.8,0.82,0.9,95.8
57,Alyssa Jimenez,Richmond Spiders,A10,72.0,17.57,29.0,89.52,112.23,1.77,0.89,0.88,0.62,-0.06,0.68,28.0,6.0,0.97,0.21,5.3,0.838,1.0,88.4
58,Alyssa Moreland,Brown Bears,IVY,71.0,23.95,13.0,79.73,89.47,1.13,0.27,0.86,-0.51,-2.02,1.51,35.0,4.0,2.69,0.31,4.2,0.704,0.74,96.5
59,Amarachi  Kimpson,UNLV Rebels,MWC,,,,,,,,,,,,,,,,8.1,0.843,0.86,91.1
60,Amarachi Kimpson,UNLV Rebels,MWC,68.0,30.97,33.0,93.21,122.1,5.73,4.36,1.37,6.06,4.8,1.26,41.0,4.0,1.24,0.12,,,,91.1
61,Amaya Brannon,North Texas Mean Green,AAC,71.0,3.31,17.0,89.44,,,,0.1,0.93,0.02,0.92,1.0,0.0,0.06,0.0,,,,85.3
62,Amaya Oliver,Temple Owls,AAC,74.0,22.04,28.0,87.05,96.35,1.88,0.65,1.23,4.07,3.0,1.07,24.0,24.0,0.86,0.86,5.1,0.683,0.77,87.7
63,Amelia Osgood,Princeton Tigers,IVY,69.0,10.18,14.0,97.58,134.06,0.48,0.36,0.12,0.14,-0.32,0.47,1.0,0.0,0.07,0.0,2.8,1.051,1.19,89.3
64,Amelia Raidaveta,Nevada Wolf Pack,MWC,74.0,8.6,9.0,103.5,65.78,-0.09,-0.11,0.02,-1.56,-1.35,-0.22,0.0,1.0,0.0,0.11,,,,100.2
65,Amelie Sitterud,Loyola Marymount Lions,WCC,73.0,12.51,27.0,97.98,68.69,-0.02,-0.3,0.28,-0.02,-0.1,0.09,11.0,8.0,0.41,0.3,2.9,0.881,0.9,99.5
66,Amhyia Moreland,New Mexico Lobos,MWC,73.0,14.37,31.0,86.45,109.82,2.21,1.29,0.91,2.56,2.06,0.5,22.0,49.0,0.71,1.58,5.1,0.774,0.74,95.8
67,Amiah Simmons,San Jose State Spartans,MWC,69.0,27.07,23.0,103.49,102.45,2.02,1.86,0.16,-3.37,0.6,-3.98,22.0,4.0,0.96,0.17,7.5,0.95,0.95,103.9
68,Amira Brown,San Jose State Spartans,MWC,70.0,25.91,30.0,103.0,77.03,-0.22,-0.45,0.23,-1.35,-1.36,0.01,24.0,7.0,0.8,0.23,6.3,0.95,0.96,103.9
69,Amira Mabry,Tulane Green Wave,AAC,72.0,26.1,30.0,87.63,104.13,3.24,1.74,1.5,-0.67,-0.85,0.18,23.0,9.0,0.77,0.3,4.9,0.912,0.99,87.5
70,Amiya Joyner,East Carolina Pirates,AAC,74.0,28.72,32.0,81.95,96.06,4.23,1.9,2.32,0.47,0.86,-0.39,36.0,34.0,1.12,1.06,5.1,0.679,0.73,
71,Amiyah Ferguson,Fordham Rams,A10,68.0,11.96,26.0,96.18,64.37,-0.3,-0.61,0.32,-4.08,-1.77,-2.31,5.0,1.0,0.19,0.04,,,,89.6
72,Amy  Kurkowski,Saint Mary's Gaels,WCC,,,,,,,,,,,,,,,,3.7,0.729,0.82,94.9
73,Amy Kurkowski,Saint Mary's Gaels,WCC,73.0,15.09,16.0,98.91,77.83,0.1,-0.08,0.18,-1.38,-1.3,-0.08,3.0,7.0,0.19,0.44,,,,94.9
74,Amy O'Hara,Bradley Braves,MVC,74.0,22.28,27.0,85.46,84.76,1.43,0.14,1.29,1.18,0.31,0.88,20.0,29.0,0.74,1.07,6.2,0.724,0.77,91.3
75,Amy Thompson,South Florida Bulls,AAC,70.0,7.65,7.0,101.58,99.73,0.08,0.06,0.02,-2.29,-1.63,-0.67,0.0,0.0,0.0,0.0,3.3,1.0,1.2,
76,Ana Guillen,Yale Bulldogs,IVY,72.0,16.07,22.0,102.04,83.72,0.17,0.03,0.14,-2.22,-2.19,-0.02,18.0,9.0,0.82,0.41,4.0,0.625,0.61,103.8
77,Anaelle Dutat,Rhode Island Rams,A10,72.0,32.51,33.0,84.22,97.53,3.89,1.44,2.46,1.99,0.86,1.13,55.0,18.0,1.67,0.55,8.2,0.727,0.78,87.7
78,Anastasija Veljovic,Fordham Rams,A10,71.0,13.67,22.0,90.57,77.32,0.35,-0.14,0.48,-0.9,-2.6,1.7,15.0,5.0,0.68,0.23,,,,89.6
79,Anaya James,Pacific Tigers,WCC,69.0,32.55,33.0,91.85,91.1,2.82,1.24,1.58,-0.74,0.41,-1.15,69.0,17.0,2.09,0.52,6.6,0.854,0.98,92.7
80,Andjela Matic,Duquesne Dukes,A10,68.0,19.26,33.0,93.25,98.61,1.81,0.97,0.85,4.58,3.22,1.36,19.0,5.0,0.58,0.15,,,,90.3
81,Angel Scott,Missouri State Lady Bears,MVC,70.0,0.63,2.0,101.09,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,89.8
82,Angeliki Ziaka,San Francisco Dons,WCC,72.0,26.41,30.0,90.01,95.9,2.42,1.1,1.33,-0.55,-1.88,1.33,49.0,26.0,1.63,0.87,6.5,0.745,0.83,92.6
83,Aniah Alexis,Rice Owls,AAC,73.0,19.28,33.0,90.48,89.59,1.54,0.5,1.03,-0.89,-1.22,0.32,20.0,10.0,0.61,0.3,4.7,0.753,0.79,89.9
84,Anica Skrivan,Evansville Aces,MVC,,7.32,8.0,101.19,71.77,-0.02,-0.05,0.03,-1.44,-1.81,0.37,1.0,2.0,0.12,0.25,,,,102.0
85,Anissa Rivera,Temple Owls,AAC,73.0,23.74,31.0,81.3,97.07,3.03,1.11,1.91,-0.8,-1.09,0.3,52.0,37.0,1.68,1.19,5.8,0.743,0.83,87.7
86,Aniyah Johnson,North Texas Mean Green,AAC,74.0,20.49,32.0,81.89,98.05,2.45,0.79,1.66,-0.17,-0.36,0.19,22.0,37.0,0.69,1.16,6.2,0.709,0.76,85.3
87,Ann Zachariah,Colorado State Rams,MWC,74.0,3.36,10.0,96.23,,,,0.03,,,,1.0,0.0,0.1,0.0,,,,94.5
88,Anna Camden,Richmond Spiders,A10,75.0,12.99,35.0,85.23,94.26,1.54,0.54,0.99,3.87,2.61,1.26,14.0,24.0,0.4,0.69,,,,88.4
89,Anna Eddy,Portland Pilots,WCC,69.0,2.55,15.0,96.78,54.21,-0.08,-0.12,0.04,,,,1.0,0.0,0.07,0.0,0.8,1.417,1.5,90.5
90,Anna Miller,Drake Bulldogs,MVC,75.0,26.52,34.0,89.64,101.13,4.13,2.58,1.55,6.51,3.79,2.72,29.0,71.0,0.85,2.09,8.6,0.712,0.75,97.1
91,Anna Przyszlak,La Salle Explorers,A10,73.0,22.63,32.0,100.04,74.93,0.06,-0.38,0.44,-4.85,-5.5,0.64,20.0,10.0,0.62,0.31,4.2,0.863,0.89,97.1
92,Annika Jiwani,Dartmouth Big Green,IVY,72.0,2.14,2.0,96.95,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,99.7
93,Anzhane Hutton,East Carolina Pirates,AAC,,,,,,,,,,,,,,,,3.7,0.916,0.95,
94,Anzhane' Hutton,East Carolina Pirates,AAC,72.0,19.14,32.0,85.55,96.78,2.31,1.0,1.32,-1.02,0.04,-1.06,26.0,17.0,0.81,0.53,,,,
95,Ariana Peagler,Southern Illinois Salukis,MVC,67.0,3.97,21.0,118.71,38.42,-0.41,-0.3,-0.11,-0.33,-0.8,0.46,1.0,0.0,0.05,0.0,,,,109.7
96,Arianna Smith,Dayton Flyers,A10,74.0,27.25,30.0,84.74,115.46,4.87,3.05,1.83,3.91,4.23,-0.31,29.0,17.0,0.97,0.57,5.0,0.662,0.75,89.6
97,Arin Freeman,Illinois-Chicago Flames,MVC,67.0,21.98,31.0,97.97,88.16,1.02,0.46,0.57,-0.47,-0.75,0.27,25.0,5.0,0.81,0.16,5.1,0.704,0.74,95.4
98,Aryss Macktoon,La Salle Explorers,A10,70.0,29.02,21.0,88.4,71.95,0.22,-0.9,1.12,-3.31,-2.93,-0.38,68.0,4.0,3.24,0.19,6.4,0.957,1.16,97.1
99,Asani Ceaser,Harvard Crimson,IVY,72.0,3.01,12.0,66.02,,,,0.15,,,,3.0,0.0,0.25,0.0,,,,80.7
100,Ashleigh Connor,La Salle Explorers,A10,71.0,32.75,29.0,96.3,86.84,1.46,0.5,0.96,0.07,0.93,-0.86,44.0,9.0,1.52,0.31,6.9,0.72,0.84,97.1
101,Ashley Chea,Princeton Tigers,IVY,68.0,33.64,29.0,92.63,105.17,3.89,2.53,1.36,4.01,2.46,1.56,26.0,6.0,0.9,0.21,6.2,0.911,0.94,89.3
102,Ashley Iiams,Drake Bulldogs,MVC,73.0,6.59,20.0,104.93,96.13,0.16,0.14,0.01,-3.53,-0.32,-3.21,2.0,0.0,0.1,0.0,,,,97.1
103,Ashna Tambe,Pennsylvania Quakers,IVY,67.0,7.43,22.0,94.35,85.46,0.25,0.05,0.2,-0.29,0.67,-0.96,5.0,4.0,0.23,0.18,,,,94.1
104,Ashton Elley,UAB Blazers,AAC,70.0,9.29,29.0,95.71,117.02,0.92,0.63,0.29,1.54,2.16,-0.62,8.0,1.0,0.28,0.03,,,,94.9
105,Astera Tuhina,Washington State Cougars,WCC,69.0,31.41,34.0,96.47,98.54,2.58,1.52,1.06,2.72,1.88,0.83,42.0,7.0,1.24,0.21,7.5,0.703,0.77,95.3
106,Audrey Chen,Cornell Big Red,IVY,67.0,5.16,12.0,95.37,83.59,0.08,0.01,0.07,1.05,-0.19,1.24,2.0,0.0,0.17,0.0,,,,95.4
107,Audrey Deptula,Loyola (Chicago) Ramblers,A10,72.0,10.22,24.0,100.64,90.08,0.36,0.22,0.13,0.15,1.25,-1.1,6.0,3.0,0.25,0.12,,,,97.2
108,Audrey Roden,Nevada Wolf Pack,MWC,69.0,24.4,30.0,96.55,84.69,0.95,0.23,0.72,1.22,1.56,-0.33,27.0,16.0,0.9,0.53,6.5,0.876,0.85,100.2
109,Aurore Eyango,St. Bonaventure Bonnies,A10,69.0,5.74,17.0,98.85,68.6,-0.05,-0.13,0.07,-0.33,0.62,-0.95,4.0,0.0,0.24,0.0,,,,103.7
110,Ava Hawthorne,Drake Bulldogs,MVC,69.0,21.46,34.0,101.7,108.37,1.79,1.46,0.32,-0.08,-0.12,0.04,23.0,1.0,0.68,0.03,5.1,0.983,1.03,97.1
111,Ava Learn,Murray State Racers,MVC,73.0,27.5,33.0,90.22,118.75,5.14,3.64,1.5,3.38,3.77,-0.38,34.0,28.0,1.03,0.85,6.7,1.005,1.07,95.2
112,Ava Ranson,San Diego Toreros,WCC,70.0,30.05,29.0,102.24,83.98,0.51,0.18,0.33,-1.82,-1.01,-0.81,40.0,4.0,1.38,0.14,6.3,0.84,0.82,99.8
113,Ava Smith,Utah State Aggies,MWC,68.0,8.76,17.0,108.6,55.21,-0.41,-0.37,-0.04,-3.43,-2.26,-1.17,6.0,0.0,0.35,0.0,,,,105.4
114,Ava Toone,Loyola Marymount Lions,WCC,73.0,4.06,15.0,106.2,,,,-0.0,-3.34,-0.79,-2.55,0.0,1.0,0.0,0.07,0.9,0.867,0.9,99.5
115,Avery Kelley,Evansville Aces,MVC,66.0,19.26,28.0,101.14,81.79,0.24,-0.03,0.27,-3.18,1.11,-4.29,21.0,1.0,0.75,0.04,3.7,0.736,0.74,102.0
116,Avery Lee,Yale Bulldogs,IVY,68.0,25.09,26.0,104.82,86.11,0.28,0.21,0.07,-1.98,-1.8,-0.19,23.0,2.0,0.88,0.08,6.0,0.871,0.95,103.8
117,Avery Watkins,Fresno State Bulldogs,MWC,72.0,6.18,19.0,100.26,81.39,0.06,-0.01,0.07,-1.76,-0.1,-1.66,3.0,2.0,0.16,0.11,2.3,1.089,1.15,99.8
118,Aya Keita,San Francisco Dons,WCC,,,,,,,,,,,,,,,,3.4,0.778,0.85,92.6
119,Aya Kéita,San Francisco Dons,WCC,69.0,14.8,29.0,93.96,100.84,1.11,0.57,0.54,1.7,2.61,-0.9,15.0,6.0,0.52,0.21,,,,92.6
120,Ayanna Franks,Rhode Island Rams,A10,69.0,10.69,33.0,87.66,95.05,1.13,0.45,0.68,1.17,0.54,0.63,17.0,10.0,0.52,0.3,,,,87.7
121,Ayisse Magassa,La Salle Explorers,A10,73.0,28.28,32.0,98.09,82.06,0.72,-0.02,0.74,-3.21,-1.72,-1.49,41.0,11.0,1.28,0.34,4.7,0.827,0.86,97.1
122,Aysia Proctor,Texas-(San Antonio) Roadrunners,AAC,68.0,14.35,20.0,86.33,100.18,1.05,0.46,0.59,1.19,0.84,0.34,9.0,4.0,0.45,0.2,3.4,0.701,0.73,84.4
123,Azareya Kilgoe,Cornell Big Red,IVY,64.0,25.39,27.0,98.51,63.29,-0.93,-1.46,0.53,-1.5,-1.84,0.35,14.0,0.0,0.52,0.0,6.1,0.729,0.85,95.4
124,Bailey Barnhard,San Diego State Aztecs,MWC,73.0,6.1,27.0,93.39,99.12,0.48,0.26,0.22,-0.65,-0.06,-0.59,5.0,2.0,0.19,0.07,,,,91.6
125,Bailey Gilmore,Memphis Tigers,AAC,75.0,11.65,27.0,108.0,69.22,-0.32,-0.25,-0.07,-4.38,-0.92,-3.46,4.0,3.0,0.15,0.11,,,,105.0
126,Bella Finnegan,Indiana State Sycamores,MVC,72.0,30.71,24.0,106.96,91.98,0.73,0.81,-0.09,-5.22,0.43,-5.66,27.0,12.0,1.12,0.5,6.0,0.819,0.91,105.2
127,Bella Swedlund,Valparaiso University,MVC,68.0,1.11,6.0,109.24,,,,-0.0,,,,0.0,0.0,0.0,0.0,,,,98.0
128,Beth Nelson,Brown Bears,IVY,,,,,,,,,,,,,,,,5.6,0.848,0.9,96.5
129,Blake O'Grady,Missouri State Lady Bears,MVC,72.0,2.33,13.0,99.25,,,,0.02,,,,0.0,0.0,0.0,0.0,,,,89.8
130,Blau Tor,Columbia Lions,IVY,72.0,9.71,21.0,89.65,113.74,0.84,0.49,0.35,0.5,0.61,-0.11,4.0,1.0,0.19,0.05,,,,88.1
131,Bobbi Smith,East Carolina Pirates,AAC,71.0,9.98,29.0,89.02,79.81,0.47,-0.05,0.52,-2.05,-1.46,-0.59,12.0,4.0,0.41,0.14,,,,
132,Brandi Williams,Loyola Marymount Lions,WCC,66.0,37.19,27.0,101.64,103.29,2.5,2.06,0.45,-1.46,-0.94,-0.52,30.0,1.0,1.11,0.04,8.6,0.823,0.93,99.5
133,Braxcynn Baker,Murray State Racers,MVC,71.0,12.01,32.0,96.79,114.86,1.43,1.06,0.37,2.79,1.38,1.41,14.0,6.0,0.44,0.19,,,,95.2
134,Bre'Yon White,Wichita State Shockers,AAC,71.0,20.16,31.0,92.19,82.73,0.92,0.02,0.9,-1.48,-1.51,0.03,22.0,10.0,0.71,0.32,5.1,0.735,0.73,94.1
135,Bree Salenbien,Gonzaga Bulldogs,WCC,74.0,17.82,21.0,95.95,91.86,0.84,0.45,0.39,-0.78,-0.5,-0.28,11.0,12.0,0.52,0.57,5.2,1.055,1.1,95.9
136,Bri Johns,Saint Louis Billikens,A10,71.0,6.65,20.0,99.97,,,,0.08,1.07,1.35,-0.29,6.0,4.0,0.3,0.2,,,,99.7
137,Bri Robinson,Northern Iowa Panthers,MVC,68.0,6.89,33.0,98.51,78.48,0.11,-0.07,0.18,-2.19,-3.14,0.96,14.0,0.0,0.42,0.0,,,,97.9
138,Briley Pena,Murray State Racers,MVC,64.0,25.12,32.0,98.37,118.99,2.31,1.68,0.64,2.56,3.77,-1.2,28.0,0.0,0.88,0.0,6.7,0.916,1.0,95.2
139,Brooke Carlson,Colorado State Rams,MWC,68.0,20.69,30.0,93.91,100.25,2.22,1.43,0.79,-0.02,0.97,-0.99,38.0,8.0,1.27,0.27,6.3,0.791,0.87,94.5
140,Brooke Hollawell,Dartmouth Big Green,IVY,69.0,1.45,8.0,100.56,74.08,-0.0,-0.01,0.01,,,,0.0,0.0,0.0,0.0,,,,99.7
141,Brooke Suttle,Pennsylvania Quakers,IVY,72.0,6.65,16.0,95.58,108.41,0.3,0.19,0.12,-0.87,-0.86,-0.0,3.0,2.0,0.19,0.12,,,,94.1
142,Brooklin Dailey,Drake Bulldogs,MVC,72.0,9.95,33.0,97.15,78.14,0.15,-0.15,0.3,-3.28,-2.71,-0.58,16.0,2.0,0.48,0.06,,,,97.1
143,Brooklyn Alexander,Tulsa Golden Hurricane,AAC,73.0,1.71,12.0,90.26,95.22,0.06,0.02,0.03,,,,1.0,0.0,0.08,0.0,,,,
144,Brooklyn Gray,Saint Louis Billikens,A10,71.0,27.1,34.0,99.73,96.14,2.27,1.68,0.6,5.3,3.24,2.06,48.0,4.0,1.41,0.12,6.4,0.894,1.02,99.7
145,Brooklyn Vaughn,Loyola (Chicago) Ramblers,A10,72.0,10.08,24.0,96.95,87.69,0.34,0.11,0.23,0.23,-0.69,0.92,10.0,0.0,0.42,0.0,,,,97.2
146,Brynn Eshoo,Tulsa Golden Hurricane,AAC,74.0,3.74,2.0,79.35,,,,0.02,,,,1.0,1.0,0.5,0.5,,,,
