player1,player2,player3,minutes,pts_for,pts_against,o_poss,d_poss,plus_minus,off_rtg,def_rtg,net_rtg,PM_p40,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg
JL,AC,MH,46.233000000000004,92,94,85.56,81.69,-2,107.5268817204301,115.06916391235158,-7.542282191921487,-1.7303657560616874,-3.1970226450157613,-1.5111604409462132,8.994643052365902,-10.505803493312115
IK,MH,PR,44.747,98,87,83.658,78.956,11,117.143608501279,110.18795278382896,6.955655717450043,9.833061434286098,8.366404545332024,8.105566339902694,4.1134319238432795,3.9921344160594145
AC,ZO,CH,42.174,81,84,68.62,68.44,-3,118.04138735062664,122.73524254821741,-4.6938551975907785,-2.8453549580310145,-4.312011846985088,9.003345189250325,16.66072168823173,-7.657376498981407
JL,IK,PR,40.476,88,87,71.63799999999999,69.961,1,122.83983360786178,124.35499778447993,-1.515164176618157,0.9882399446585631,-0.47841694429551074,13.801791446485467,18.280476924494252,-4.478685478008785
AC,ZO,PR,40.251,68,64,64.267,65.035,4,105.80857983101748,98.40854924271547,7.400030588302016,3.9750565203348986,2.508399631380825,-3.229462330358828,-7.665971617270216,4.436509286911388
JL,AM,AC,39.906,87,75,74.09,67.23,12,117.42475367795923,111.55734047300312,5.867413204956108,12.028266426101338,10.561609537147264,8.38671151658292,5.4828196130174405,2.90389190356548
JL,MH,PR,37.908,91,82,72.05799999999999,66.318,9,126.28715756751507,123.64667209505716,2.640485472457911,9.49667616334283,8.030019274388756,17.249115406138756,17.572151235071473,-0.3230358289327171
ZO,MH,PR,35.902,65,47,67.17,61.775,18,96.76939109721602,76.08255766895994,20.68683342825608,20.054593058882514,18.58793616992844,-12.268651064160295,-29.991963191025746,17.72331212686545
AC,MH,PR,34.583999999999996,68,57,66.11,62.056999999999995,11,102.85887157767357,91.85104017274442,11.00783140492915,12.722646310432571,11.255989421478498,-6.179170583702742,-14.223480687241263,8.044310103538521
AC,IK,CH,33.887,43,51,54.78,56.72,-8,78.49580138736765,89.91537376586743,-11.41957237849978,-9.44314929028831,-10.909806179242384,-30.54224077400866,-16.159147094118254,-14.383093679890408
IK,ZO,MH,30.946,52,56,53.78,54.43,-4,96.69021941242097,102.88443872864231,-6.194219316221336,-5.170296645770051,-6.636953534724125,-12.347822748955338,-3.190082131343374,-9.157740617611964
AC,IK,MH,30.434,45,53,53.12,51.445,-8,84.71385542168674,103.02264554378462,-18.308790122097875,-10.514556088585135,-11.981212977539208,-24.324186739689566,-3.0518753162010626,-21.272311423488503
AM,PR,CH,30.405,44,51,48.05,47.37,-7,91.57127991675338,107.66307789740344,-16.091797980650057,-9.209011675711231,-10.675668564665305,-17.466762244622927,1.5885570374177576,-19.055319282040685
IK,ZO,PR,27.937,43,44,47.84,45.31,-1,89.8829431438127,97.10880600308982,-7.225862859277129,-1.431792962737588,-2.898449851691662,-19.155099017563614,-8.965714856895858,-10.189384160667757
