Player,Synergy Role,Height,U18 Season,PTS/G,PPP,D1 Conference,D1 School(s),D1 Season,D1 PPG,Country,Composite Score
Jessica Petrie,Spot Up Shooting Wing,602.0,2022,6.0,0.795,BIG 10,Nebraska,24-25,6.0,Australia,0.365
Lydia Chatira,Playmaking Ball Handler,600.0,2023,10.0,0.789,Ivy,Harvard,25-26,,Greece,0.362
Mihaela Lazic,Playmaking Wing,506.0,2018,10.0,0.694,CUSA,FIU,22-23,5.0,Croatia,0.357
Cheyenne Rowe,Playmaking Big,602.0,2022,4.0,0.96,AAC,UTSA,24-25,6.0,Canada,0.355
Alice Curman,Playmaking Wing,509.0,2023,3.0,0.66,MVC,SIU,24-25,5.5,Sweden,0.353
Grace Hunter,Playmaking Wing,510.0,2018,4.0,0.5,Big West,CSUB,22-23,8.0,New Zealand,0.352
Kiandre Browne,Rim Finishing Big,602.0,2018,4.0,0.852,A10,Duquesne,24-25,6.0,Canada,0.345
Nina Horvath,-,508.0,2022,2.0,0.714,Southland,East Texas A&M,24-25,7.0,Germany,0.333
Jessika Schiffer,Playmaking Wing,509.0,2018,7.0,0.752,MAAC,Rider,23-24,7.0,Germany,0.333
Stella Szabo,Playmaking Wing,511.0,2022,6.3,0.52,WCC,Pacific,24-25,1.4,Sweden,0.332
Petra Bozan,Post-Up Big,603.0,2023,12.0,0.888,BIG 10,Nebraska,24-25,5.0,Croatia,0.332
Tiffany Barbosa,Dynamic Shooting Wing,510.0,2023,18.0,0.85,WCC,Portland,24-25,0.7,Sweden,0.328
Lucija Kostic,Playmaking Big,602.0,2018,11.0,0.954,WCC,USF,21-22,2.0,Croatia,0.322
Vanessa Taylor,Slashing Wing,508.0,2018,3.0,0.344,CAA,Elon,23-24,6.0,Sweden,0.315
Vitolia Tuilave,-,602.0,2022,4.0,0.947,SoCon,Wofford,23-24,3.0,New Zealand,0.31
Sara Lundqvist,Stretch Big,602.0,2018,3.0,0.556,D2,Fresno Pacific (D2),22-23,8.0,Sweden,0.307
Hana Muhl,Playmaking Wing,508.0,2021,13.0,0.887,MAC,Ball State,23-24,3.0,Croatia,0.27
Rose Nelson,-,601.0,2022,2.0,0.615,A10,Fordham,23-24,4.0,Australia,0.268
Ida Jonsson Ojala,Post-Up Big,602.0,2019,5.0,0.87,MAC,Buffalo,23-24,0.8,Sweden,0.257
Julia Nystrom,Playmaking Wing,507.0,2019,4.6,0.44,A10,Saint Joseph's,24-25,2.5,Sweden,0.248
Sara Deidda,Spot Up Shooting Wing,510,2022,2.0,0.324,SoCon,Wofford,24-25,1.0,Croatia,0.243
Lucija Banovic,Slashing Wing,600.0,2023,15.0,0.839,Ivy,Dartmouth,24-25,2.0,Croatia,0.242
Maddie Morrow,Spot Up Shooting Wing,509.0,2022,4.0,0.88,D2,Art U (D2),24-25,6.0,New Zealand,0.24
Sienna Harvey,Scoring Ball Handler,509.0,2024,8.0,0.78,BIG 10,Washington,25-26,,Australia,0.226
Kenya Cote Lysius,Playmaking Wing,508.0,2018,3.0,0.615,A10,La Salle,21-22,3.0,Canada,0.215
Miriam Diala,Stretch Big,601.0,2023,3.0,0.447,A10,George Washington,24-25,3.0,Germany,0.215
Allyah Leusogi-Ape,Playmaking Wing,510.0,2022,8.0,0.93,D2,Grayson,24-25,5.0,New Zealand,0.207
Olivia Harm,Spot Up Shooting Wing,601.0,2023,5.3,0.63,Canada,Saskatchewan,24-25,5.0,Sweden,0.207
Paula Graichen,Spot Up Shooting Wing,604.0,2021,3.0,0.538,D2,Westmont (D2),22-23,5.0,Germany,0.207
Shantavia Dawkins,Slashing Wing,508.0,2022,4.0,0.625,A10,Dayton,24-25,2.0,Canada,0.202
Lovisa Asbrink Hose,Post-Up Big,606.0,2022,2.6,0.45,AAC,FAU,24-25,3.4,Sweden,0.198
Hanna Kajevic,Playmaking Ball Handler,507.0,2023,10.0,0.71,MAC,Cleveland St,25-26,,Sweden,0.197
Tonka Jaksic,Playmaking Wing,511.0,2023,5.0,0.561,Lone Star,Eastern New Mexico,24-25,3.0,Croatia,0.185
Filippa Goula,Playmaking Ball Handler,507.0,2019,3.0,0.613,Horizon,Cleveland State,24-25,3.0,Greece,0.185
Laura Di Stefano,-,602.0,2022,2.0,0.737,AAC,Tulsa,25-26,,Italy,0.175
Freideriki (Eri) Blithikioti,Secondary Ball Handler,511.0,2023,5.0,0.56,Big West,UC San Diego,24-25,1.0,Greece,0.168
