team,mean_rank,median_rank,most_common_conference,rank_stability
Seattle,297.6,302.0,WAC,29.4
Maryland-Baltimore County,312.0,306.0,AEC,16.7
SIU Edwardsville,300.4,323.0,OVC,38.4
Merrimack,313.6,319.0,NEC,23.3
Evansville,308.6,306.0,MVC,29.8
Morgan State,307.8,325.0,MEAC,30.4
Massachusetts-Lowell,305.2,329.0,AEC,42.1
East Texas A&M,287.0,276.0,Southland,19.1
Radford,320.6,313.0,Big South,13.0
Texas Southern,318.8,309.0,SWAC,22.9
Saint Peter's,313.8,308.0,MAAC,32.4
Presbyterian,312.2,310.0,Big South,26.6
Alcorn State,322.0,314.0,SWAC,17.4
Dartmouth,320.8,320.0,Ivy,14.3
Rider,318.8,336.0,MAAC,24.2
UNC Wilmington,319.2,331.0,CAA,36.6
Florida A&M,321.5,319.0,SWAC,22.2
Western Carolina,326.4,344.0,Southern,30.9
South Carolina Upstate,316.6,323.0,Big South,38.3
Hampton,326.4,330.0,CAA,13.0
Gardner-Webb,317.2,326.0,Big South,37.2
Houston Christian,321.2,332.0,Southland,27.5
Cal State Northridge,311.8,330.0,Big West,49.2
Charleston Southern,332.0,325.0,Big South,14.2
Prairie View,333.8,334.0,SWAC,9.9
North Carolina Central,334.8,333.0,MEAC,11.8
Le Moyne,311.0,289.0,NEC,38.1
Central Connecticut State,336.6,338.0,NEC,7.4
Winthrop,339.2,337.0,Big South,8.0
Alabama State,315.4,355.0,SWAC,64.0
UNC Asheville,338.4,340.0,Big South,12.3
McNeese State,339.4,335.0,Southland,14.4
Wagner,325.0,356.0,NEC,43.9
Queens (NC),338.7,346.0,A-Sun,12.7
Long Island University,336.4,353.0,NEC,26.8
Mississippi Valley State,346.6,349.0,SWAC,5.5
Saint Francis (PA),333.8,350.0,NEC,39.5
St. Francis (NY),285.5,285.5,NEC,30.4
West Georgia,291.0,291.0,A-Sun,
Chicago State,342.4,346.0,Ind,20.2
Delaware State,346.8,351.0,MEAC,18.9
Stonehill,350.7,358.0,NEC,12.7
Hartford,336.5,336.5,AEC,19.1
Mercyhurst,341.0,341.0,NEC,
South Carolina State,354.2,357.0,MEAC,7.3
